분야지역  경기북부  서울    인천    경기남부  강원    충청    전라    경상    제주      합계
러닝        0     0     0     0     0     0     0     0     0       0
카페        25    12    6     5     5     1     2     3     5       64
맛집        10    24    4     10    10    7     12    13    6       96
등산        16    17    4     8     8     6     10    7     9       85
숙박        4     0     1     1     11    3     4     6     6       36
해변        0     0     4     0     16    6     1     8     9       44
계곡        6     0     0     2     7     4     3     2     0       24
전시·구경     10    12    3     6     3     3     3     3     2       45
축제        3     3     0     2     4     3     5     6     1       27
캠핑        6     2     3     3     5     2     2     2     0       25
드라이브      3     0     2     2     8     1     1     4     3       24
러닝        22    29    8     31    11    11    13    24    7       156

합계        105   99    35    70    88    47    56    78    48    
