== parkSpot 없는 34곳 ==
cafe | 라플란드 원흥점 | 고양시 덕양구 원흥동 (3호선 원흥역 인근)
cafe | 카페 진정성 김포본점 | 김포시 양촌읍 석모리
cafe | 카페더뷰 | 김포시 대곶면 (덕포진·초지대교 인근)
cafe | 투슬로우커피 | 시흥시 정왕동 (오이도)
cafe | 외할머니솜씨 | 전주시 완산구 (전주한옥마을, 전동성당 도보 6분)
cafe | 카페 라피끄 | 여수시 돌산읍 무술목길
food | 누하의 숲 | 종로구 옥인동 (서촌)
food | 을지면옥 | 종로구 낙원동 (종로3가역)
hike | 아부오름 | 제주시 구좌읍 송당리 (아부오름 입구)
hike | 절물자연휴양림 | 제주시 봉개동 (절물자연휴양림 정문·주차장)
stay | 가평 빌라코지 풀빌라 | 가평군 청평면 호명리 (호반로 753-7)
stay | 가평 카라펜션 | 가평군 가평읍 두밀리 (태봉두밀로 269-101)
stay | 양평 풀빌라 마노아 | 양평군 서종면 정배리 (중미산로 884-13)
stay | 고성 안녕바다카라반펜션 | 고성군 죽왕면 (천학정길 65-1)
stay | 롯데리조트 속초 | 속초시 대포동 (대포항길 186)
stay | 브리드호텔 양양 | 양양군 현남면 인구리 (인구항길 17)
stay | 세인트존스호텔 | 강릉시 강문동 (창해로 307)
stay | 속초 비로소 독채펜션 | 속초시 장사동 (장성천길 61-27)
stay | 평창 오대산힐링타운 별빛동 | 평창군 진부면 (오대산 월정사 인근)
stay | 하이원리조트 | 정선군 고한읍 (하이원길 265-1)
stay | 홀리데이 인 리조트 알펜시아 평창 | 평창군 대관령면 용산리 (솔봉로 325)
stay | 홍천 헤리티스 풀빌라 | 홍천군 북방면 장항리 (장항2길 14-5)
stay | 그랜드 하얏트 제주 | 제주시 노형동 (노연로 12, 제주 드림타워)
stay | 휘닉스 제주 섭지코지 | 서귀포시 성산읍 고성리 (섭지코지로 93-66)
stay | 해녹 | 서귀포시 성산읍 신산리 (환해장성로121번길 16)
beach | 왕산해수욕장 | 영종구 을왕동
beach | 을왕리해수욕장 | 영종구 을왕동
beach | 대천해수욕장 | 보령시 신흑동
beach | 웅천해변(웅천친수공원) | 여수시 웅천동
beach | 송정해수욕장 | 부산 해운대구 송정동
beach | 학동몽돌해변 | 거제시 동부면 학동리
fest | 청양 알프스마을 얼음분수축제 | 청양군 정산면 천장호길 175-11 (알프스마을, 칠갑산·천장호 인근)
fest | 태안 세계튤립꽃박람회 | 태안군 남면 마검포길 200 (네이처월드 / 코리아플라워파크)
fest | 순창장류축제 | 순창군 순창읍 장류로 55 (순창전통고추장민속마을 · 순창발효테마파크)

== 예약/공식링크 없는 축제 ==
경기북부 | 고양국제꽃박람회 | 고양시 일산동구 (일산호수공원 일원)
경기북부 | 양주 천만송이 천일홍축제 | 양주시 광사동 812 (양주 나리농원/나리공원)
경기북부 | 연천 구석기축제 | 연천군 전곡읍 양연로 1510 (연천 전곡리 유적)
경기북부 | 자라섬재즈페스티벌 | 가평군 가평읍 자라섬로 60 (자라섬 일원)
경기북부 | 포천 백운계곡 동장군축제 | 포천시 이동면 포화로 236-24 (백운계곡 일원)
경기북부 | 포천 산정호수 명성산 억새꽃축제 | 포천시 영북면 산정호수로411번길 108 (산정호수·명성산 억새군락지)
경기북부 | 아침고요수목원 오색별빛정원전 | 가평군 상면 수목원로 432 (아침고요수목원)
경기북부 | 파주개성인삼축제 | 파주시 문산읍 임진각로 148-40 (임진각 광장)
경기북부 | 파주장단콩축제 | 파주시 문산읍 (임진각 광장 · 평화누리 일원)
서울 | 궁중문화축전 | 종로구 사직로 161 (경복궁·창덕궁·덕수궁·창경궁·경희궁·종묘 일원)
서울 | 서울 밤도깨비야시장 | 영등포구 여의동로 330 (여의도한강공원) / 서초구 반포한강공원 / 청계천 광통교 / DDP 등
서울 | 서울빛초롱축제 | 중구 태평로1가 1 (청계광장~삼일교 청계천 일대)
서울 | 서울세계불꽃축제 | 영등포구 (여의도한강공원 주무대) · 이촌한강공원 등 한강변 일대
서울 | 송파 석촌호수 벚꽃축제(호수벚꽃축제) | 송파구 송파나루길 206 (석촌호수 일원)
서울 | 영등포 여의도 봄꽃축제 | 영등포구 여의동 (여의서로 윤중로 벚꽃길, 국회의사당 뒤편~서강대교 남단)
서울 | 중랑 서울장미축제 | 중랑구 묵동 375 (중랑장미공원, 중랑천변 5.45km 장미터널)
서울 | 한강페스티벌 여름 | 영등포구 여의동로 330 (여의도한강공원 외 뚝섬·반포·난지·망원 등 한강공원 9곳)
서울 | 서울억새축제 (하늘공원) | 마포구 상암동 (월드컵공원 하늘공원 일대)
인천 | 강화 고려산 진달래축제 | 강화군 하점면 부근리 (고려산 진달래군락지, 고인돌광장 기점)
인천 | 소래포구축제 | 남동구 아암대로 1550 (소래포구 해오름광장·전통어시장·소래습지생태공원 일원)
인천 | 인천 펜타포트 락 페스티벌 | 연수구 센트럴로 350 (송도달빛축제공원)
인천 | 인천 개항장 국가유산 야행 | 중구 개항장 문화지구 일원 (차이나타운·인천개항박물관·자유공원 주변)
경기남부 | 수원화성문화제 | 수원시 팔달구 정조로 825 (화성행궁 광장·수원화성 일원)
경기남부 | 시흥갯골축제 | 시흥시 동서로 287 (시흥갯골생태공원)
경기남부 | 안산국제거리극축제 | 안산시 단원구 광덕대로 157 (안산문화광장)
경기남부 | 안성맞춤 남사당 바우덕이 축제 | 안성시 보개면 남사당로 198 (안성맞춤랜드·안성천 일원)
경기남부 | 여주오곡나루축제 | 여주시 천송동 290-3 (신륵사관광지·남한강변)
경기남부 | 이천쌀문화축제 | 이천시 부악로 38-52 (복하천 수변공원 일원) — 2026년부터 장소가 바뀌었다
경기남부 | 에버랜드 튤립축제 | 용인시 처인구 포곡읍 에버랜드로 199 (에버랜드 포시즌스가든)
경기남부 | 이천백사 산수유꽃축제 | 이천시 백사면 (도립리·경사리·송말리 산수유마을, 산수유사랑채 일대)
강원 | 강릉단오제 | 강릉시 노암동 단오장길 1 (남대천 둔치 단오장) · 강릉단오제 전수교육관
강원 | 춘천마임축제 | 강원 춘천시 시내 일원 (축제극장 몸짓·브라운5번가·중도)
강원 | 태백산 눈축제 | 태백시 소도동 (태백산국립공원 당골광장) · 태백시문화예술회관 일원
강원 | 평창송어축제 | 평창군 진부면 경강로 3562 (오대천 축제장)
강원 | 횡성한우축제 | 강원 횡성군 횡성읍 섬강둔치 일원
강원 | 인제빙어축제 | 강원 인제군 남면 부평리 빙어호 일원
강원 | 정선아리랑제 | 강원 정선군 정선읍 아리랑센터·조양강변 일원
충청 | 보령머드축제 | 보령시 신흑동 2282 (대천해수욕장 머드광장 일원)
충청 | 천안흥타령춤축제 | 충남 천안시 천안종합운동장 및 시내 일원
충청 | 금산인삼축제 | 충남 금산군 금산읍 인삼관광지 일원
충청 | 단양온달문화축제 | 충북 단양군 영춘면 온달관광지 일원
충청 | 서산해미읍성축제 | 충남 서산시 해미면 해미읍성 일원
충청 | 청양 알프스마을 얼음분수축제 | 청양군 정산면 천장호길 175-11 (알프스마을, 칠갑산·천장호 인근)
충청 | 태안 세계튤립꽃박람회 | 태안군 남면 마검포길 200 (네이처월드 / 코리아플라워파크)
전라 | 광양매화축제 | 광양시 다압면 도사리 (섬진강변 매화마을 · 청매실농원 장독대)
전라 | 구례산수유꽃축제 | 구례군 산동면 (지리산온천관광지 주행사장 · 산수유문화관 · 반곡마을 · 상위마을)
전라 | 정남진 장흥 물축제 | 장흥군 장흥읍 칠거리예양로 83 (탐진강 수변공원) · 편백숲우드랜드
전라 | 김제지평선축제 | 김제시 부량면 벽골제로 442 (벽골제 일원)
전라 | 남원춘향제 | 전북 남원시 광한루원 및 요천 일원
전라 | 무주반딧불축제 | 전북 무주군 무주읍 남대천·예체문화관 일원
전라 | 순창장류축제 | 순창군 순창읍 장류로 55 (순창전통고추장민속마을 · 순창발효테마파크)
경상 | 부산불꽃축제 | 부산 수영구 (광안리해수욕장) · 광안대교 · 해운대 · 이기대 일원
경상 | 안동국제탈춤페스티벌 | 안동시 운흥동 (탈춤공원 주무대) · 중앙선1942(구 안동역) · 원도심 · 하회마을
경상 | 진해군항제 벚꽃축제 | 창원시 진해구 여좌동 (여좌천 로망스다리) · 경화역 공원 · 중원로터리 · 진해루
경상 | 봉화은어축제 | 봉화군 봉화읍 내성리 506 (내성천 축제장 일원)
경상 | 부산바다축제 | 부산 사하구 다대동 (다대포해수욕장·낙조분수 일원)
경상 | 영주 풍기인삼축제 | 경북 영주시 풍기읍 남대천 둔치·풍기인삼문화팝업공원
경상 | 진주남강유등축제 | 진주시 (남강 일원 · 진주성 · 촉석루)
경상 | 청송사과축제 | 경북 청송군 청송읍 현비암·용전천 일원
제주 | 서귀포유채꽃축제 | 서귀포시 표선면 가시리 녹산로 (조랑말체험공원 일대)
제주 | 성산일출축제 | 서귀포시 성산읍 일출로 284-6 (성산일출봉 일원)
제주 | 제주 전농로 왕벚꽃축제 | 제주시 전농로 일대 (삼도1동)
제주 | 제주들불축제 | 제주시 애월읍 봉성리 (새별오름 일대)
제주 | 탐라문화제 | 제주시 일도일동 (탑동해변공연장·산지천 일원)
제주 | 제주감귤박람회 | 서귀포시 중산간동로 서귀포농업기술센터 일원 (해에 따라 감귤박물관 일대 병행)

== 예약/공식링크 없는 온천 ==
경기북부 | 아쿠아필드 고양 | 경기 고양시 덕양구 고양대로 1955, 스타필드 고양 4층
경기북부 | 일동제일유황온천 | 경기 포천시 일동면 화동로 1210
경기북부 | 신북온천 리조트 (스프링폴) | 포천시 신북면 (청신로 571)
서울 | 강변스파랜드 | 서울 광진구 구의강변로 45 지하 2층
서울 | 스파렉스 동묘 | 서울 종로구 지봉로 19, 12~13층
인천 | 석모도 미네랄온천 | 인천 강화군 삼산면 (석모도, 매음리)
인천 | 파라다이스시티 씨메르 | 인천 중구 영종도 파라다이스시티 내
경기남부 | 웅진플레이도시 | 부천시 원미구 (조마루로 2, 상동)
경기남부 | 수원 온수골온천 | 경기 수원시 권선구 동수원로 232
경기남부 | 용인 로만바스 | 용인시 처인구 (지삼로 470)
경기남부 | 테르메덴 | 이천시 모가면 (이천온천지구)
경기남부 | 프로방스율암 아쿠아스파 | 경기 화성시 팔탄면 율암온천지구(율암온천 옆 프로방스율암 리조트)
경기남부 | 향남힐링스파 | 경기 화성시 향남읍 향남로 430-16
강원 | 척산온천휴양촌 | 속초시 노학동 (관광로 327)
강원 | 가곡유황온천 & 스파 | 삼척시 가곡면 (가곡천로 1510)
강원 | 동해보양온천컨벤션호텔 | 강원 동해시 동해대로 6285(망상동)
강원 | 설해원 온천(노천스파·온천수영장) | 강원 양양군 손양면 설해원 골든비치 리조트 내
강원 | 소노펠리체 델피노 인피니티풀 (원암온천) | 고성군 토성면 (미시령옛길 1153)
강원 | 오색그린야드호텔 탄산온천 | 양양군 서면 오색리 (오색약수 온천지구)
강원 | 필례 게르마늄온천 | 인제군 인제읍 (필례약수길 72)
강원 | 한화리조트 설악 워터피아 | 속초시 (미시령로2983번길 111)
충청 | 아산스파비스 | 아산시 음봉면 (아산온천 일원)
충청 | 유성 족욕체험장 | 대전 유성구 봉명동 (계룡스파텔 인근, 유성온천공원)
충청 | 계룡스파텔 대온천장 (유성온천) | 대전 유성구 봉명동 (유성온천지구)
충청 | 능암온천랜드(앙성탄산온천) | 충북 충주시 앙성면 새바지길 37
충청 | 덕산 스파뷰호텔(야외 히노끼탕) | 충남 예산군 덕산면 덕산온천단지
충청 | 수안보온천 족욕길 (물탕공원) | 충주시 수안보면 온천리 일원
충청 | 수안보파크호텔 온천 | 충주시 수안보면 (수안보온천지구)
충청 | 스플라스 리솜 (덕산온천) | 예산군 덕산면 (온천단지3로 45-7)
충청 | 온양온천 족욕탕 (온양온천역·전통시장) | 아산시 온천동 (온양온천역 교각 아래 / 온양온천전통시장 입구)
충청 | 초정약수 세종스파텔 | 청주시 청원구 내수읍 초정리 (초정약수 원탕지구)
충청 | 파라다이스 스파도고 | 아산시 도고면 (도고온천로 176)
전라 | 진안홍삼스파 | 전북 진안군 진안읍 외사양길 16-10
전라 | 군산 더해수온천 | 전북 군산시 해망로 631 (소룡동)
전라 | 금호화순리조트 아쿠아나 | 화순군 백아면 (옥리길 14-21)
전라 | 도곡 원네스 스파·리조트 | 전남 화순군 도곡면 온천1길 45(도곡온천단지)
전라 | 보성 율포해수녹차센터 | 전남 보성군 회천면 우암길 21
전라 | 석정온천 휴스파 | 고창군 고창읍 (석정2로 173, 웰파크시티)
전라 | 지리산온천랜드 | 구례군 산동면 (지리산온천로 261, 지리산온천지구)
전라 | 쿰다스파랜드 | 김제시 (상동로 166)
경상 | 덕구온천 스파월드 | 울진군 북면 (덕구온천리조트)
경상 | 스파랜드 센텀시티 | 부산 해운대구 (신세계백화점 센텀시티점 내)
경상 | 클럽디 오아시스 (해운대 엘시티) | 부산 해운대구 달맞이길 30, 엘시티 3~6층
경상 | 허심청 (동래온천) | 부산 동래구 온천장로 137 (호텔농심)
경상 | 마금산원탕 보양온천 | 경남 창원시 의창구 북면 천주로 1167
경상 | 문경 STX리조트 스파 산토리니 | 문경시 농암면 (청화로 509)
경상 | 백암스프링스호텔 온천 (백암온천) | 울진군 온정면 (백암온천관광특구)
경상 | 부곡스파디움 (부곡온천) | 창녕군 부곡면 (부곡온천지구)
경상 | 소노벨 청송 솔샘온천 | 청송군 주왕산면 (소노로 38)
경상 | 스파밸리 | 대구 달성군 가창면 (가창로 891)
경상 | 청도 용암온천 | 경북 청도군 화양읍(청도프로방스 앞)
제주 | 산방산탄산온천 | 서귀포시 안덕면 (사계북로41번길 192)
제주 | 오레브 핫스프링 앤 스파 | 서귀포시 (오레브 리조트 내)
제주 | 제주 드림타워 찜질스파 (그랜드 하얏트 제주) | 제주 제주시 노연로 12, 제주 드림타워 L6층
