고양국제꽃박람회 | 고양시 일산동구 (일산호수공원 일원)
양주 천만송이 천일홍축제 | 양주시 광사동 812 (양주 나리농원/나리공원)
연천 구석기축제 | 연천군 전곡읍 양연로 1510 (연천 전곡리 유적)
자라섬재즈페스티벌 | 가평군 가평읍 자라섬로 60 (자라섬 일원)
포천 백운계곡 동장군축제 | 포천시 이동면 포화로 236-24 (백운계곡 일원)
포천 산정호수 명성산 억새꽃축제 | 포천시 영북면 산정호수로411번길 108 (산정호수·명성산 억새군락지)
아침고요수목원 오색별빛정원전 | 가평군 상면 수목원로 432 (아침고요수목원)
파주개성인삼축제 | 파주시 문산읍 임진각로 148-40 (임진각 광장)
파주장단콩축제 | 파주시 문산읍 (임진각 광장 · 평화누리 일원)
궁중문화축전 | 종로구 사직로 161 (경복궁·창덕궁·덕수궁·창경궁·경희궁·종묘 일원)
서울 밤도깨비야시장 | 영등포구 여의동로 330 (여의도한강공원) / 서초구 반포한강공원 / 청계천 광통교 / DDP 등
서울빛초롱축제 | 중구 태평로1가 1 (청계광장~삼일교 청계천 일대)
서울세계불꽃축제 | 영등포구 (여의도한강공원 주무대) · 이촌한강공원 등 한강변 일대
송파 석촌호수 벚꽃축제(호수벚꽃축제) | 송파구 송파나루길 206 (석촌호수 일원)
영등포 여의도 봄꽃축제 | 영등포구 여의동 (여의서로 윤중로 벚꽃길, 국회의사당 뒤편~서강대교 남단)
중랑 서울장미축제 | 중랑구 묵동 375 (중랑장미공원, 중랑천변 5.45km 장미터널)
한강페스티벌 여름 | 영등포구 여의동로 330 (여의도한강공원 외 뚝섬·반포·난지·망원 등 한강공원 9곳)
서울억새축제 (하늘공원) | 마포구 상암동 (월드컵공원 하늘공원 일대)
강화 고려산 진달래축제 | 강화군 하점면 부근리 (고려산 진달래군락지, 고인돌광장 기점)
소래포구축제 | 남동구 아암대로 1550 (소래포구 해오름광장·전통어시장·소래습지생태공원 일원)
인천 펜타포트 락 페스티벌 | 연수구 센트럴로 350 (송도달빛축제공원)
인천 개항장 국가유산 야행 | 중구 개항장 문화지구 일원 (차이나타운·인천개항박물관·자유공원 주변)
수원화성문화제 | 수원시 팔달구 정조로 825 (화성행궁 광장·수원화성 일원)
시흥갯골축제 | 시흥시 동서로 287 (시흥갯골생태공원)
안산국제거리극축제 | 안산시 단원구 광덕대로 157 (안산문화광장)
안성맞춤 남사당 바우덕이 축제 | 안성시 보개면 남사당로 198 (안성맞춤랜드·안성천 일원)
여주오곡나루축제 | 여주시 천송동 290-3 (신륵사관광지·남한강변)
이천쌀문화축제 | 이천시 부악로 38-52 (복하천 수변공원 일원) — 2026년부터 장소가 바뀌었다
에버랜드 튤립축제 | 용인시 처인구 포곡읍 에버랜드로 199 (에버랜드 포시즌스가든)
이천백사 산수유꽃축제 | 이천시 백사면 (도립리·경사리·송말리 산수유마을, 산수유사랑채 일대)
강릉단오제 | 강릉시 노암동 단오장길 1 (남대천 둔치 단오장) · 강릉단오제 전수교육관
춘천마임축제 | 강원 춘천시 시내 일원 (축제극장 몸짓·브라운5번가·중도)
태백산 눈축제 | 태백시 소도동 (태백산국립공원 당골광장) · 태백시문화예술회관 일원
평창송어축제 | 평창군 진부면 경강로 3562 (오대천 축제장)
횡성한우축제 | 강원 횡성군 횡성읍 섬강둔치 일원
인제빙어축제 | 강원 인제군 남면 부평리 빙어호 일원
정선아리랑제 | 강원 정선군 정선읍 아리랑센터·조양강변 일원
보령머드축제 | 보령시 신흑동 2282 (대천해수욕장 머드광장 일원)
천안흥타령춤축제 | 충남 천안시 천안종합운동장 및 시내 일원
금산인삼축제 | 충남 금산군 금산읍 인삼관광지 일원
단양온달문화축제 | 충북 단양군 영춘면 온달관광지 일원
서산해미읍성축제 | 충남 서산시 해미면 해미읍성 일원
청양 알프스마을 얼음분수축제 | 충남 청양군 정산면 천장호길 223-35 (알프스마을, 칠갑산·천장호 인근)
태안 세계튤립꽃박람회 | 태안군 남면 마검포길 200 (네이처월드 / 코리아플라워파크)
광양매화축제 | 광양시 다압면 도사리 (섬진강변 매화마을 · 청매실농원 장독대)
구례산수유꽃축제 | 구례군 산동면 (지리산온천관광지 주행사장 · 산수유문화관 · 반곡마을 · 상위마을)
정남진 장흥 물축제 | 장흥군 장흥읍 칠거리예양로 83 (탐진강 수변공원) · 편백숲우드랜드
김제지평선축제 | 김제시 부량면 벽골제로 442 (벽골제 일원)
남원춘향제 | 전북 남원시 광한루원 및 요천 일원
무주반딧불축제 | 전북 무주군 무주읍 남대천·예체문화관 일원
순창장류축제 | 순창군 순창읍 장류로 55 (순창전통고추장민속마을 · 순창발효테마파크)
부산불꽃축제 | 부산 수영구 (광안리해수욕장) · 광안대교 · 해운대 · 이기대 일원
안동국제탈춤페스티벌 | 안동시 운흥동 (탈춤공원 주무대) · 중앙선1942(구 안동역) · 원도심 · 하회마을
진해군항제 벚꽃축제 | 창원시 진해구 여좌동 (여좌천 로망스다리) · 경화역 공원 · 중원로터리 · 진해루
봉화은어축제 | 봉화군 봉화읍 내성리 506 (내성천 축제장 일원)
부산바다축제 | 부산 사하구 다대동 (다대포해수욕장·낙조분수 일원)
영주 풍기인삼축제 | 경북 영주시 풍기읍 남대천 둔치·풍기인삼문화팝업공원
진주남강유등축제 | 진주시 (남강 일원 · 진주성 · 촉석루)
청송사과축제 | 경북 청송군 청송읍 현비암·용전천 일원
서귀포유채꽃축제 | 서귀포시 표선면 가시리 녹산로 (조랑말체험공원 일대)
성산일출축제 | 서귀포시 성산읍 일출로 284-6 (성산일출봉 일원)
제주 전농로 왕벚꽃축제 | 제주시 전농로 일대 (삼도1동)
제주들불축제 | 제주시 애월읍 봉성리 (새별오름 일대)
탐라문화제 | 제주시 일도일동 (탑동해변공연장·산지천 일원)
제주감귤박람회 | 서귀포시 중산간동로 서귀포농업기술센터 일원 (해에 따라 감귤박물관 일대 병행)
