18
beach    진해루 해변공원                 경남 창원시 진해구 진희로 142
culture  진해해양공원 솔라타워              경남 창원시 진해구 명동로 62
culture  제황산공원 모노레일카              경남 창원시 진해구 중원동로 54
hike     상족암군립공원                  경남 고성군 하이면 덕명리 50-1
culture  당항포관광지                   경남 고성군 회화면 당항만로 1116
culture  문수암                      경남 고성군 상리면 무선2길 808
culture  채미정                      경북 구미시 금오산로 366
culture  구미에코랜드                   경북 구미시 산동읍 인덕1길 195
culture  구미 새마을테마공원               경북 구미시 박정희로 155
hike     반곡지                      경북 경산시 남산면 반곡리 246
culture  삼성현역사문화공원                경북 경산시 남산면 삼성현공원로 59
hike     남매지                      경북 경산시 계양동 325
culture  성주 한개마을                  경북 성주군 월항면 한개2길 8
culture  성주 성밖숲                   경북 성주군 성주읍 경산리 446-1
culture  세종대왕자 태실                 경북 성주군 월항면 세종대왕자태실로 639-18
hike     회룡포·회룡대 전망대              경북 예천군 용궁면 회룡포길 359
food     삼강주막                     경북 예천군 풍양면 삼강리길 27
culture  초간정                      경북 예천군 용문면 용문경천로 874
