강화 동막해변 | 인천 | 강화군 화도면 동막리 (해안남로)
무의도 하나개해수욕장 | 인천 | 인천 중구 무의동 (무의대교 건너)
소무의도 무의바다누리길 | 인천 | 인천 중구 무의동 소무의도 (광명항 인도교 건너)
영종도 마시안해변·갯벌체험장 | 인천 | 인천 중구 운서동 (영종도 서남단, 마시란로)
덕적도 서포리해변 | 인천 | 인천 옹진군 덕적면 서포리 (덕적도 남쪽)
석모도 민머루해수욕장 | 인천 | 강화군 삼산면 매음리 (석모대교 건너 석모도 서쪽)
선재도 목섬 | 인천 | 옹진군 영흥면 선재리
십리포해수욕장 | 인천 | 옹진군 영흥면 내리
왕산해수욕장 | 인천 | 영종구 을왕동
을왕리해수욕장 | 인천 | 영종구 을왕동
구봉도 낙조전망대 | 경기남부 | 경기 안산시 단원구 대부북동
궁평항 낙조길·궁평해송군락지 | 경기남부 | 화성시 서신면 궁평로 1049-24
대부도 방아머리해변 | 경기남부 | 경기 안산시 단원구 대부북동
시흥 오이도 | 경기남부 | 경기 시흥시 정왕동
제부도 바닷길·제부도해수욕장 | 경기남부 | 화성시 서신면 제부리 (제부로 바닷길 2.3km)
매향리 평화생태공원·고온항 | 경기남부 | 화성시 우정읍 매향리 (구 쿠니사격장 부지)
전곡항 마리나 | 경기남부 | 화성시 서신면 전곡리 (전곡항 마리나)
평택호 관광단지 | 경기남부 | 경기 평택시 현덕면
화성 백미리 갯벌체험장 | 경기남부 | 경기 화성시 서신면
경포해수욕장 | 강원 | 강릉시 안현동·강문동 (창해로 514)
낙산해수욕장 | 강원 | 양양군 강현면 전진리·주청리 (해맞이길)
속초해수욕장 | 강원 | 속초시 조양동 (해오름로 190~194)
정동진해변 | 강원 | 강릉시 강동면 정동진리 (정동진역 앞)
죽도해변 | 강원 | 양양군 현남면 인구리·시변리 (죽도해안길)
추암해변 | 강원 | 동해시 추암동 (촛대바위길 26~28)
하조대해수욕장 | 강원 | 양양군 현북면 하광정리 (하조대해안길, 서피비치는 하조대해안길 119)
화진포해수욕장 | 강원 | 고성군 현내면 초도리 (화진포길 386)
기사문해변(38해변) | 강원 | 양양군 현북면 기사문리 (기사문길 29)
맹방해변 | 강원 | 삼척시 근덕면 상맹방리·하맹방리·덕산리
사천진해변 | 강원 | 강릉시 사천면 사천진리 (진리해변길 111)
송지호해수욕장 | 강원 | 고성군 죽왕면 오호리 (오호1리)
아야진해변 | 강원 | 고성군 토성면 아야진리 (아야진해변길 157)
안목해변(강릉 커피거리) | 강원 | 강릉시 견소동 (창해로14번길 20-1, 강릉항 옆)
외옹치해변 | 강원 | 속초시 대포동 (해오름로 83 일원)
인구해변 | 강원 | 양양군 현남면 인구리 (인구항길 12)
꽃지해수욕장 | 충청 | 태안군 안면읍
대천해수욕장 | 충청 | 보령시 신흑동
만리포해수욕장 | 충청 | 태안군 소원면 모항리
몽산포해수욕장 | 충청 | 태안군 남면
무창포해수욕장 | 충청 | 보령시 웅천읍 관당리
서산 간월암 | 충청 | 서산시 부석면 간월도1길 117 (천수만)
왜목마을 | 충청 | 당진시 석문면 교로리
태안 기지포해수욕장·솔모랫길 | 충청 | 태안군 안면읍 승언리 (삼봉해수욕장 남측)
태안 삼봉해수욕장 | 충청 | 태안군 안면읍 창기리 (안면도 해안도로변)
당진 난지도해수욕장 | 충청 | 당진시 석문면 난지도리 (도비도항에서 배로 약 20분)
보령 원산도해수욕장 | 충청 | 보령시 오천면 원산도리 (보령해저터널 건너)
격포해수욕장·채석강 | 전라 | 부안군 변산면 격포리 (격포항 북측, 채석강로)
구시포해수욕장 | 전라 | 고창군 상하면 자룡리 (구시포항 인접)
동호해수욕장 | 전라 | 고창군 해리면 동호리
땅끝 송호해수욕장 | 전라 | 해남군 송지면 송호리 (땅끝마을 인근)
목포 갓바위 해상보행교 | 전라 | 목포시 용해동 (국립해양문화재연구소~달맞이공원 구간)
