국립유명산자연휴양림 야영장 | 경기북부 | 가평군 설악면 가일리 (유명산길 79-53)
자라섬 캠핑장 | 경기북부 | 가평군 가평읍 달전리 (자라섬로 60)
축령산자연휴양림 야영장 | 경기북부 | 남양주시 수동면 외방리 (축령산로 299)
산정호수 가족글램핑장 | 경기북부 | 포천시 영북면 산정리 (산정호수로411번길 13)
연천 재인폭포 오토캠핑장 | 경기북부 | 연천군 연천읍 고문리 (현문로508번길 140)
임진각 평화누리캠핑장 | 경기북부 | 파주시 문산읍 마정리 (임진각로 148-40)
한강공원 난지캠핑장 | 서울 | 마포구 상암동 (한강난지로 28)
우이동 가족캠핑장 | 서울 | 강북구 우이동 (삼양로181길 28)
동막해변 야영장 | 인천 | 강화군 화도면 동막리
을왕리 솔트 캠핑장 | 인천 | 영종구 을왕동 (용유서로423번길 38)
장경리해변 야영장 | 인천 | 옹진군 영흥면 내리 (장경리해변)
가평더캠프 카라반&글램핑 | 경기남부 | 가평군 설악면 (한서로156번길 12-62)
안성맞춤캠핑장 | 경기남부 | 안성시 보개면 복평리 302-5 (안성맞춤랜드 내)
양평 설매재자연휴양림 야영장 | 경기남부 | 양평군 옥천면 (용천로 510, 유명산 자락)
여주 금은모래캠핑장 | 경기남부 | 여주시 연양동 (강변유원지길 105, 남한강변)
용인자연휴양림 야영장 | 경기남부 | 용인시 처인구 모현읍 (초부로 220)
제부도 글램비글램핑 | 경기남부 | 화성시 서신면 제부리 (해안길 64, 제부도)
국립산음자연휴양림 야영장 | 경기남부 | 양평군 단월면 산음리 (고북길 347)
국립중미산자연휴양림 야영장 | 경기남부 | 양평군 옥천면 신복리 (중미산로 1152)
안산화랑오토캠핑장 | 경기남부 | 안산시 단원구 초지동 (동산로 268)
망상오토캠핑리조트 | 강원 | 동해시 망상동 (동해대로 6220)
국립화천숲속야영장 | 강원 | 화천군 간동면 (배후령길 1144)
동강전망자연휴양림 오토캠핑장 | 강원 | 정선군 신동읍 고성리 (동강로 916-212)
연곡해변 솔향기캠핑장 | 강원 | 강릉시 연곡면 동덕리 (해안로 1282-10)
장호비치캠핑장 | 강원 | 삼척시 근덕면 장호리 (삼척로 2116)
국립희리산해송자연휴양림 야영장 | 충청 | 서천군 종천면 산천리 산35-1
단양 소선암오토캠핑장 | 충청 | 단양군 단성면 (선암계곡로 1656, 선암계곡)
몽산포 자동차야영장 | 충청 | 태안군 남면 신장리 (몽산포길 63-43)
보령 성주산자연휴양림 야영장 | 충청 | 보령시 성주면 성주리 (심원계곡로 513)
서천 해양글램핑 | 충청 | 서천군 서면 마량리 (서인로 288-19, 서천해양박물관 옆)
제천 월악산 송계 자동차야영장 | 충청 | 제천시 한수면 송계리 (미륵송계로 1625)
학암포 자동차야영장 | 충청 | 태안군 원북면 방갈리 (옥파로 1152-37)
괴산 화양계곡 원탑캠핑장 | 충청 | 괴산군 청천면 화양리 (화양로 834-9, 화양구곡)
보령 무창포카라반파크 | 충청 | 보령시 웅천읍 독산리 (동뒤마을길 49-22)
태안 샛별카라반글램핑장 | 충청 | 태안군 안면읍 신야리 (샛별길 238-10)
고창 구시포노을오토캠핑장 | 전라 | 고창군 상하면 (구시포안길 38)
덕유대야영장 | 전라 | 무주군 설천면 삼공리 (무주구천동)
여수 웅천친수공원 야영장 | 전라 | 여수시 웅천동 1692 (예울마루로 37-40)
완도 명사십리오토캠핑장 | 전라 | 완도군 신지면 (명사십리61번길 54, 신지도)
고사포야영장 | 전라 | 부안군 변산면 운산리 (변산해변로 765)
구례 피아골오토캠핑장 | 전라 | 구례군 토지면 (원기양지길 26, 지리산 피아골)
담양 금성산성오토캠핑장 | 전라 | 담양군 금성면 (새덕굴길 135-88, 담양호 인근)
부안 변산오토캠핑장 | 전라 | 부안군 변산면 대항리 (변산로 2054)
부안 줄포만갯벌생태공원 캠핑장 | 전라 | 부안군 줄포면 우포리 (생태공원로 38)
완도수목원 카라반캠핑장 | 전라 | 완도군 군외면 대문리 (초평1길 22, 완도수목원 내)
국립남해편백자연휴양림 야영장 | 경상 | 남해군 삼동면 봉화리 (금암로 658)
국립청옥산자연휴양림 야영장 | 경상 | 봉화군 석포면 (청옥로 1552-163)
남해 두모마을 캠핑장 | 경상 | 남해군 상주면 양아리 (양아로525번길 20)
울진 구산오토캠핑장 | 경상 | 울진군 기성면 (기성로 108, 구산해수욕장 내)
통영오토캠핑장 | 경상 | 통영시 용남면 장평리 (분덕길 156)
합천 오도산자연휴양림 야영장 | 경상 | 합천군 봉산면 압곡리 (오도산휴양로 393-5)
거제 궁농오토캠핑장 | 경상 | 거제시 장목면 송진포리 (거제북로 2633-16)
거제 물안바다 카라반 캠핑장 | 경상 | 거제시 하청면 (칠천로 973-2, 칠천도)
경주 오션글램피아 | 경상 | 경주시 양남면 신대리 (동남로 496-11)
영덕 고래불 국민야영장 | 경상 | 영덕군 병곡면 (고래불로 12)
학동자동차야영장 | 경상 | 거제시 동부면 학동리 (거제대로 981)
모구리야영장 | 제주 | 서귀포시 성산읍 난산리 (서성일로 250)
서귀포자연휴양림 야영장 | 제주 | 서귀포시 대포동 산1-8 (1100도로변)
교래자연휴양림 야영장 | 제주 | 제주시 조천읍 (남조로 2023)
서귀포 카라반 | 제주 | 서귀포시 상예동 161 (중문관광단지 인근)
제주올레캠핑장 | 제주 | 제주시 애월읍 소길리 (평화로 2032-18)
