광릉숲 관통도로 국지도 98호선 (진접 봉선사~국립수목원~포천 소흘) | 경기북부 | 남양주시 진접읍 부평리 (봉선사 주차장 기점)
남양주 운길산 수종사 오르막 (조안면 송촌리 진입로) | 경기북부 | 남양주시 조안면 송촌리 (수종사 진입로 초입 마을 주차장 기점)
연천 임진강변 37번 국도 (전곡~숭의전~장남교 호로고루) | 경기북부 | 연천군 전곡읍 (전곡선사박물관 주차장 기점)
자유로 직선 질주 + 헤이리 | 경기북부 | 서울 마포구 상암동 (가양대교 북단, 자유로 기점) → 파주시 문산읍 임진각
파주 감악산 371번 지방도 + 마장호수 (적성~설마리~광탄) | 경기북부 | 파주시 적성면 설마리 (감악산 출렁다리 주차장 기점)
북한강로 강변 벚꽃 드라이브 | 경기북부 | 남양주시 조안면 (양수리 터미널삼거리) → 가평군 청평면 신청평대교
포천 한탄강 협곡 드라이브 | 경기북부 | 포천시 영북면 대회산리 (한탄강 하늘다리·비둘기낭 주차장) → 산정호수
강화 해안순환도로 한 바퀴 | 인천 | 강화군 강화읍 (강화대교 건너 초입) → 외포리 → 장화리 → 동막해변 → 
영종도 밤바다·비행기 야간 드라이브 | 인천 | 중구 운서동 (인천대교 또는 영종대교 진출 후 해안도로) → 씨사이드파크 →
남한산성 342번 지방도 야경 드라이브 (산성역~남문~서문 전망대) | 경기남부 | 광주시 남한산성면 산성리 (남한산성 로터리 기점)
안성 고삼호수 순환길 (고삼면 일대, 39·313번 지방도) | 경기남부 | 안성시 고삼면 대갈리 (고삼저수지 둑 기점)
화성 서해 황금해안 드라이브 (전곡항~제부도~궁평항, 77번 국도·해안로) | 경기남부 | 화성시 서신면 전곡리 (전곡항 마리나 주차장 기점)
남한강변 여주~양평 한적한 길 | 경기남부 | 여주시 강천면 (강천섬 주차장) → 신륵사 → 이포보 → 양평읍
양평 6번 국도 두물머리~용문 | 경기남부 | 양평군 양서면 양수리 (두물머리 주차장) → 양평읍 → 용문면 용문산관광지
용인 백암·원삼 삼덕고개 순례길 드라이브 (은이성지~미리내성지) | 경기남부 | 용인시 처인구 양지면 남곡리 (은이성지 주차장 기점)
만항재 414번 지방도 | 강원 | 정선군 고한읍 (414번 지방도, 정암사 방면) → 만항재 정상 → 태백시 
미시령 옛길 | 강원 | 인제군 북면 용대리 (설악산 산림수련관 앞) → 미시령 정상 → 고성군 토성
안반데기 고랭지 하늘길 | 강원 | 강릉시 왕산면 대기리 (안반데기 마을 입구) → 멍에전망대 주차장
한계령 44번 국도 | 강원 | 인제군 북면 한계리 (44번 국도 진입) → 한계령휴게소 → 양양군 서면 오
대관령 옛길 (456번 지방도) | 강원 | 평창군 대관령면 (옛 대관령휴게소·양떼목장 입구) → 강릉시 성산면 구산리
동해안 7번 국도 (속초~강릉) | 강원 | 속초시 조양동 (7번 국도 남행 진입) → 양양 낙산·하조대 → 강릉시 주문
진고개 (소금강 넘는 6번 국도) | 강원 | 평창군 대관령면 병내리 (6번 국도) → 진고개 정상 → 강릉시 연곡면 삼산
헌화로 (바다와 가장 가까운 길) | 강원 | 강릉시 옥계면 금진해변 (금진항) → 심곡항 → 강릉시 강동면 정동진항
당진 3대 방조제길 (삽교호~석문방조제~대호방조제, 38번 국도·633 지방도) | 충청 | 당진시 신평면 (삽교호관광지 주차장 기점)
대청호반로 (대청댐 전망대~회남대교~옥천 추소리 부소담악) | 충청 | 대전 대덕구 미호동 (대청댐 물문화관 주차장 기점)
보령해저터널~원산안면대교 (대천항~원산도~안면도, 77번 국도) | 충청 | 보령시 신흑동 (대천항 / 보령해저터널 홍보관 기점)
서산 A·B지구 방조제 천수만길 (간월암~창리~궁리, 77번 국도) | 충청 | 서산시 부석면 간월도리 (간월암 주차장 기점)
제천 청풍호반로 82번 지방도 (청풍대교~옥순대교~단양 방향) | 충청 | 제천시 청풍면 물태리 (청풍문화재단지 주차장 기점)
태안·안면도 해안도로 (신두리~꽃지) | 충청 | 태안군 소원면 (신두리해안사구 주차장) → 만리포해변 → 태안군 안면읍 꽃지
부여~공주 백제 금강길 야경 (백마강로~고마나루, 4번·40번 국도) | 충청 | 부여군 부여읍 동남리 (부여 궁남지 주차장 기점)
고흥 우주로 15번 국도 (팔영대교~고흥반도~나로우주센터) | 전라 | 고흥군 영남면 (팔영대교 남단 우주발사전망대 방면 기점)
구례 성삼재 노고단로 (천은사~시암재~성삼재~달궁, 구례군도 12호선) | 전라 | 구례군 광의면 방광리 (천은사삼거리 기점)
담양 메타세쿼이아 24번 국도 + 담양호 관광도로 (담양읍~금성~담양호) | 전라 | 담양군 담양읍 (담양군청·죽녹원 주차장 기점)
변산반도 해안도로 30번 국도 (대항리~격포~곰소) | 전라 | 부안군 변산면 대항리 (새만금방조제 끝·변산해수욕장 기점)
해남 땅끝 해안도로 77번 국도 (땅끝마을~사구미~미황사) | 전라 | 해남군 송지면 갈두리 (땅끝마을 주차장 기점)
순천 상사호반길 857번 지방도 (상사댐~선암사 갈림길~낙안읍성) | 전라 | 순천시 상사면 (상사조절지댐 물홍보관 기점)
여수 돌산도 해안일주도로 | 전라 | 여수시 돌산읍 (돌산대교·거북선대교 건너 우두리) → 무슬목 → 향일암 → 
남해 물미해안도로 | 경상 | 남해군 미조면 미조항 → 남해군 삼동면 물건항(물건리 방조어부림)
울진 불영계곡로 36번 국도 (근남 수산리~불영사~통고산) | 경상 | 울진군 근남면 수산리 (왕피천공원·수산교 기점)
하동 화개 십리벚꽃길 1023번 지방도 (화개장터~쌍계사~의신마을) | 경상 | 하동군 화개면 탑리 (화개장터 주차장 기점)
거제 매미성~학동~해금강 해안길 | 경상 | 거제시 장목면 대금리 (매미성 주차장) → 학동흑진주몽돌해변 → 거제시 남부
경주 보문호반로 | 경상 | 경주시 신평동 (보문관광단지 입구) → 보문호 한 바퀴 → 보문호반광장
경주 토함산 석굴암로 (불국사~석굴암~추령 방면) | 경상 | 경주시 진현동 (불국사 주차장 기점)
밀양 얼음골~밀양댐 산길 (24번 국도·1051번 지방도) | 경상 | 밀양시 산내면 남명리 (얼음골 케이블카 주차장 기점)
부산 달맞이길 + 기장 해안도로 | 경상 | 부산 해운대구 중동 (미포, 달맞이길 입구) → 송정 → 기장군 (해동용궁사
안동 임하호반길 (임하댐~수애당~마령~지례예술촌) | 경상 | 안동시 임하면 임하리 (임하댐 물문화관 주차장 기점)
청도 운문호반길 (운문댐~운문사~경주 산내 방향, 20번 국도·69번 지방도) | 경상 | 청도군 운문면 대천리 (운문댐 물문화관 기점)
제주 1100도로 (한라산 횡단) | 제주 | 서귀포시 중문동 (중문초등학교입구 교차로) → 1100고지 휴게소 → 제주시
제주 비자림로 숲길 | 제주 | 제주시 봉개동 (516도로 교차로, 명도암 입구) → 대천교차로 → 제주시 
제주 해맞이해안로 (김녕~성산) | 제주 | 제주시 구좌읍 김녕리 (김녕해변) → 월정리·세화·하도 → 서귀포시 성산읍 
