감악산 출렁다리 | 경기북부 | 파주시 적성면 설마리 (감악산 출렁다리 제1주차장)
명성산 억새밭 | 경기북부 | 포천시 영북면 산정리 (산정호수 상동주차장, 등룡폭포 들머리)
백운산 (포천 광덕고개) | 경기북부 | 포천시 이동면 도평리 (흥룡사·백운계곡 주차장 / 광덕고개 휴게소 들머리)
소요산 환종주 (의상대) | 경기북부 | 동두천시 상봉암동 (1호선 소요산역, 소요산 관광지 일주문 들머리)
심학산 둘레길 | 경기북부 | 파주시 교하동·산남동 (심학산 배수지 주차장·약천사)
예봉산 정상 | 경기북부 | 남양주시 와부읍 팔당리 (경의중앙선 팔당역, 상팔당 등산로 입구)
운길산 수종사 | 경기북부 | 남양주시 조안면 송촌리 (경의중앙선 운길산역 들머리 / 조안면 체육공원 주차
유명산 (자연휴양림 순환) | 경기북부 | 가평군 설악면 가일리 (국립 유명산자연휴양림 매표소·주차장 들머리)
천마산 정상 | 경기북부 | 남양주시 오남읍 (천마산관리소 들머리) / 화도읍 호평동 수진사 입구
축령산·서리산 연계 | 경기북부 | 남양주시 수동면 외방리 (축령산자연휴양림 제2주차장 들머리)
행주산성 역사누리길 | 경기북부 | 고양시 덕양구 행주내동 (행주산성 대첩문·제1주차장)
고봉산 | 경기북부 | 고양시 일산동구 중산동 (중산제3공영주차장·안곡습지공원)
마장호수 출렁다리 둘레길 | 경기북부 | 파주시 광탄면 기산리 (마장호수 제1주차장)
북한산 원효봉 | 경기북부 | 고양시 덕양구 (북한산성탐방지원센터)
양주 불곡산 | 경기북부 | 양주시 남방동 양주시청 주차장 (하산은 유양동 대교아파트)
정발산 | 경기북부 | 고양시 일산동구 마두동 (3호선 정발산역 3번 출구)
개화산 숲길 | 서울 | 강서구 개화동 (5호선 개화산역, 강서둘레길 1코스 입구)
관악산 연주대 | 서울 | 관악구 신림동 관악산공원 입구 (서울대 방향)
남산 북측순환로 | 서울 | 중구 장충동 국립극장 앞 (3호선 동대입구역 6번 출구)
봉산·앵봉산 편백숲길 | 서울 | 은평구 증산동 (6호선 증산역 3번 출구, 증산체육공원 들머리)
북한산 우이령길 | 서울 | 강북구 우이동 우이탐방지원센터 (종점은 양주시 장흥면 교현탐방지원센터)
북한산둘레길 1구간 소나무숲길 | 서울 | 강북구 우이동 (북한산우이역 2번 출구)~솔밭근린공원 상단
불암산 정상 | 서울 | 노원구 상계동 (4호선 상계역 2번 출구, 불암산공원 입구)
수락산 주봉 | 서울 | 노원구 상계동 (7호선 수락산역 1번 출구, 수락골 들머리)
아차산 | 서울 | 광진구 광장동 아차산생태공원 (5호선 아차산역·광나루역)
안산 자락길 | 서울 | 서대문구 현저동 서대문형무소역사관 뒤편 (3호선 독립문역 5번 출구)
용마산 정상 | 서울 | 중랑구 면목동 (용마폭포공원 주차장, 둘레길 이정표 들머리)
인왕산 | 서울 | 종로구 사직동 사직공원 (3호선 경복궁역 1번 출구 도보 5분)
청계산 매봉 | 서울 | 서초구 원지동 원터골 (신분당선 청계산입구역)
도봉산 신선대 | 서울 | 도봉구 도봉동 도봉탐방지원센터 (1·7호선 도봉산역 1번 출구)
망우산 사색의 길 | 서울 | 중랑구 망우동 (망우역사문화공원 제2주차장, 낙이망우교 들머리)
북악산 한양도성 백악구간 | 서울 | 종로구 청운동 (창의문 안내소 들머리, 자하문고개)
북한산 백운대 | 서울 | 강북구 우이동 백운탐방지원센터 (도선사 입구)
강화 고려산 진달래 | 인천 | 인천 강화군 하점면 (고인돌광장·백련사 방면)
계양산 | 인천 | 계양구 계산동 계양산성박물관·연무정 (인천1호선 계산역)
무의도 호룡곡산~국사봉 | 인천 | 인천 중구 무의동 (광명항 또는 하나개해수욕장 기점)
문학산 정상 (문학산성) | 인천 | 미추홀구 학익동 (학익동 산 57-1 문학산 출입구)
강화 마니산 참성단 | 인천 | 강화군 화도면 상방리 마니산국민관광지
관모산·상아산 (인천대공원) | 인천 | 남동구 장수동 (인천대공원 동문 주차장, 관모산 등산로 입구)
교동도 화개산 (강화나들길 9코스) | 인천 | 인천 강화군 교동면 (교동향교·화개정원 기점)
석모도 해명산~낙가산~보문사 | 인천 | 인천 강화군 삼산면 (전득이고개 기점, 석모대교로 진입)
영종도 백운산 | 인천 | 인천 중구 (용궁사 주차장·영종동 행정복지센터 기점)
검단산 정상 | 경기남부 | 하남시 창우동 (애니메이션고등학교 옆 유길준묘 등산로 입구)
광교산 형제봉 | 경기남부 | 수원시 장안구 상광교동 반딧불이화장실
남한산성 성곽길 | 경기남부 | 광주시 남한산성면 산성로터리 (중앙주차장)
모락산 정상 | 경기남부 | 의왕시 내손동 (계원예술대학교 후문 들머리)
서울대공원 산림욕장길 | 경기남부 | 경기 과천시 (서울대공원 호주관 뒤 기점)
소래산 정상 | 경기남부 | 시흥시 대야동 (ABC행복학습타운 옆 소래산산림욕장 입구 / 내원사 입구)
용문산 가섭봉 | 경기남부 | 양평군 용문면 신점리 (용문산관광지 주차장 → 용문사 은행나무 들머리)
용인 석성산 | 경기남부 | 경기 용인시 처인구 (통화사 주차장 기점)
구름산·도덕산 (광명누리길) | 경기남부 | 광명시 소하동 (광명시보건소 옆 구름산 등산로 입구)
삼성산 (안양예술공원 기점) | 경기남부 | 경기 안양시 만안구 (안양예술공원 공영주차장 기점)
성남 불곡산 (분당) | 경기남부 | 경기 성남시 분당구 (불곡초교·정자동 들머리)
수리산 태을봉 | 경기남부 | 안양시 만안구 병목안시민공원 (4호선 수리산역)
이천 설봉산 | 경기남부 | 경기 이천시 (설봉공원 제1주차장 기점)
평택섶길 8-1코스 무봉산둘레길 | 경기남부 | 경기 평택시 진위면 (진위면사무소 기점)
강릉 바우길 5구간 바다호숫길 | 강원 | 강원 강릉시 (사천진해변 또는 남항진해변 기점)
두타산 베틀바위 산성길 | 강원 | 강원 동해시 삼화동 (무릉계곡 주차장 기점)
삼척 초곡 용굴촛대바위길 | 강원 | 강원 삼척시 근덕면 초곡항
선자령 (대관령) | 강원 | 평창군 대관령면 횡계리 (구 대관령휴게소·대관령마을휴게소, 경강로 5721)
설악산 울산바위 | 강원 | 속초시 설악동 소공원 (설악동 매표소)
오대산 비로봉 | 강원 | 평창군 진부면 동산리 (상원사 주차장·상원탐방지원센터)
오대산 선재길 | 강원 | 평창군 진부면 월정사 주차장 (월정사~상원사)
인제 원대리 자작나무숲 | 강원 | 강원 인제군 인제읍 원대리 (자작나무숲 주차장 기점)
정선 민둥산 억새 | 강원 | 강원 정선군 남면 (증산초교 기점)
치악산 비로봉 | 강원 | 원주시 소초면 학곡리 (구룡사 주차장·구룡탐방지원센터 / 황골탐방지원센터)
태백산 천제단 | 강원 | 태백시 유일사 주차장 (하산은 당골광장)
홍천 팔봉산 | 강원 | 강원 홍천군 서면 (팔봉산관광지 산행안내센터 기점)
설악산 비룡폭포 | 강원 | 속초시 설악동 소공원 (설악동 매표소)
평창 육백마지기 (청옥산) | 강원 | 강원 평창군 미탄면 회동리 (정상 주차장까지 차량 진입)
함백산 | 강원 | 정선군 고한읍 고한리 (만항재 주차장)
