계룡산 관음봉 | 충청 | 공주시 반포면 동학사 주차장
계족산 황톳길 | 충청 | 대전 대덕구 (장동산림욕장 입구 기점)
괴산 산막이옛길 | 충청 | 충북 괴산군 칠성면 (차돌바위 주차장 기점)
단양강 잔도길 | 충청 | 충북 단양군 단양읍 (상진철교·만천하 방향)
소백산 비로봉 | 충청 | 단양군 가곡면 어의곡리 (어의곡탐방지원센터, 새밭로 842)
속리산 문장대 | 충청 | 보은군 속리산면 법주사 집단시설지구
월악산 영봉 | 충청 | 제천시 한수면 송계리 (덕주사 주차장·덕주탐방지원센터, 미륵송계로2길 87)
제비봉 (단양 충주호) | 충청 | 단양군 단성면 장회리 (제비봉탐방지원센터)
청주 상당산성 성곽길 | 충청 | 충북 청주시 상당구 (상당산성 주차장 기점)
태안해변길 3코스 파도길 | 충청 | 충남 태안군 소원면 (만리포해수욕장 기점)
계룡산 삼불봉 | 충청 | 공주시 반포면 학봉리 (동학사 주차장·동학사탐방지원센터)
보문산 시루봉·보문산성 | 충청 | 대전 중구 (보문산공원 청년광장 기점)
서산 팔봉산 | 충청 | 충남 서산시 팔봉면 (양길리 주차장 기점)
청풍호 자드락길 6코스 괴곡성벽길 | 충청 | 충북 제천시 수산면 (option: 다불암~지곡리)
대둔산 마천대 | 전라 | 완주군 운주면 대둔산도립공원 케이블카 주차장
덕유산 향적봉 | 전라 | 무주군 설천면 심곡리 (무주덕유산리조트 곤돌라 승강장, 만선로 185)
마이산 암마이봉 | 전라 | 진안군 마령면 동촌리 (마이산 남부주차장) / 진안읍 단양리 (북부주차장)
무등산 서석대 | 전라 | 광주 동구 운림동 증심사 지구
선운산 도솔암·천마봉 | 전라 | 고창군 아산면 삼인리 (선운사 주차장·선운산관리사무소)
월출산 천황봉 | 전라 | 영암군 영암읍 개신리 (천황사 주차장·천황탐방지원센터)
지리산 노고단 | 전라 | 구례군 산동면 성삼재휴게소
강천산 구름다리 | 전라 | 순창군 팔덕면 청계리 (강천산 매표소·제1주차장)
내장산 신선봉 | 전라 | 정읍시 내장동 내장사
두륜산 가련봉 | 전라 | 해남군 삼산면 구림리 (대흥사 주차장 / 오소재 약수터)
가야산 만물상 | 경상 | 성주군 수륜면 백운리 (백운동탐방지원센터, 가야산식물원길 66)
경주 남산 삼릉~금오봉 | 경상 | 경북 경주시 (서남산·삼릉 주차장 기점)
금오산 현월봉 | 경상 | 구미시 남통동 (금오산도립공원 제1주차장·탐방안내소)
비슬산 대견사~참꽃군락지 | 경상 | 대구 달성군 (비슬산자연휴양림 기점)
앞산 안지랑골~앞산전망대 | 경상 | 대구 남구 (안지랑골 입구 기점)
이기대 해안산책로 (갈맷길 2-2) | 경상 | 부산 남구 (동생말 전망대 기점)
재약산 사자평 억새 (표충사 기점) | 경상 | 경남 밀양시 단장면 (표충사 주차장 기점)
주왕산 주왕계곡 폭포길 | 경상 | 청송군 주왕산면 상의리 (상의주차장·대전사)
지리산둘레길 4코스 금계~동강 | 경상 | 경남 함양군 마천면 (금계마을 기점)
통영 미륵산 | 경상 | 통영시 한려수도 조망 케이블카 하부역사 또는 용화사 주차장
황매산 철쭉평전 | 경상 | 합천군 가회면 둔내리 (황매산 정상주차장·미리내파크 제1주차장 / 덕만주차장
거제 노자산 (학동고개) | 경상 | 경남 거제시 동부면 (학동고개 기점)
거제 망산 | 경상 | 경남 거제시 남부면 (저구삼거리 기점)
금정산 범어사~북문~고당봉 | 경상 | 부산 금정구 (범어사 주차장 기점)
사량도 지리산~옥녀봉 종주 | 경상 | 경남 통영시 사량면 (돈지마을 기점, 배 이용)
승학산 억새평원 | 경상 | 부산 사하구 (동아대 승학캠퍼스·제석골 기점)
신불산 간월재 억새 | 경상 | 울주군 상북면 등억알프스리 (영남알프스 복합웰컴센터) / 울주군 배내골 배내
안동 호반나들이길 (월영교~법흥교) | 경상 | 경북 안동시 (월영교 주차장 기점)
팔공산 갓바위 (관봉) | 경상 | 경산시 와촌면 대한리 (갓바위주차장·갓바위탐방지원센터)
사려니숲길 | 제주 | 제주시 조천읍 교래리 비자림로 입구 (또는 남조로 붉은오름 입구)
새별오름 | 제주 | 제주시 애월읍 봉성리 산59-8 (새별오름 공영주차장)
용눈이오름 | 제주 | 제주시 구좌읍 종달리 (용눈이오름 주차장)
한라산 성판악~백록담 | 제주 | 제주시 조천읍 성판악탐방안내소
다랑쉬오름 | 제주 | 제주시 구좌읍 세화리 (다랑쉬오름 주차장·관리사무소)
성산일출봉 | 제주 | 서귀포시 성산읍 성산리 (성산일출봉 매표소·주차장, 일출로 284-12)
아부오름 | 제주 | 제주시 구좌읍 송당리 (아부오름 입구)
절물자연휴양림 | 제주 | 제주시 봉개동 (절물자연휴양림 정문·주차장)
한라산 영실코스 | 제주 | 서귀포시 하원동 영실매표소·영실휴게소
