아쿠아필드 고양 | 경기북부 | 경기 고양시 덕양구 고양대로 1955, 스타필드 고양 4층
일동제일유황온천 | 경기북부 | 경기 포천시 일동면 화동로 1210
신북온천 리조트 (스프링폴) | 경기북부 | 포천시 신북면 (청신로 571)
그랜드 워커힐 서울 리버파크 야외수영장 | 서울 | 서울 광진구 워커힐로 177
뚝섬한강공원 수영장 | 서울 | 서울 광진구 강변북로 139 (뚝섬한강공원)
여의도한강공원 수영장 | 서울 | 서울 영등포구 여의동로 330 (여의도한강공원)
파크하비오 워터킹덤 & 스파 | 서울 | 서울 송파구 송파대로 111 파크하비오 202동 (문정동)
강변스파랜드 | 서울 | 서울 광진구 구의강변로 45 지하 2층
반얀트리 클럽 앤 스파 서울 – 더 오아시스 야외풀 | 서울 | 서울 중구 장충단로 60
스파렉스 동묘 | 서울 | 서울 종로구 지봉로 19, 12~13층
석모도 미네랄온천 | 인천 | 인천 강화군 삼산면 (석모도, 매음리)
송해온 (송도 해수온천) | 인천 | 인천 연수구 인천타워대로197번길 16 리치센트럴 지하1층 B102호
청라 스파렉스 | 인천 | 인천 서해구 청라커낼로260번길 15 (2026.7 행정개편 전 주소: 인천
솔밭해수방 (영종도 프라이빗 해수찜) | 인천 | 인천 영종구 공항서로163번길 26 (2026.7 행정개편 전 주소: 인천 
파라다이스시티 씨메르 | 인천 | 인천 중구 영종도 파라다이스시티 내
웅진플레이도시 | 경기남부 | 부천시 원미구 (조마루로 2, 상동)
수원 온수골온천 | 경기남부 | 경기 수원시 권선구 동수원로 232
용인 로만바스 | 경기남부 | 용인시 처인구 (지삼로 470)
이천 설봉온천랜드 | 경기남부 | 경기 이천시 애련정로 67-16
테르메덴 | 경기남부 | 이천시 모가면 (이천온천지구)
프로방스율암 아쿠아스파 | 경기남부 | 경기 화성시 팔탄면 율암온천지구(율암온천 옆 프로방스율암 리조트)
향남힐링스파 | 경기남부 | 경기 화성시 향남읍 향남로 430-16
화성 율암온천 | 경기남부 | 경기 화성시 팔탄면 온천로 434-14
원주온천 | 강원 | 강원 원주시 단구동 (원주천변)
척산온천휴양촌 | 강원 | 속초시 노학동 (관광로 327)
가곡유황온천 & 스파 | 강원 | 삼척시 가곡면 (가곡천로 1510)
동해보양온천컨벤션호텔 | 강원 | 강원 동해시 동해대로 6285(망상동)
설해원 온천(노천스파·온천수영장) | 강원 | 강원 양양군 손양면 설해원 골든비치 리조트 내
소노펠리체 델피노 인피니티풀 (원암온천) | 강원 | 고성군 토성면 (미시령옛길 1153)
오색그린야드호텔 탄산온천 | 강원 | 양양군 서면 오색리 (오색약수 온천지구)
필례 게르마늄온천 | 강원 | 인제군 인제읍 (필례약수길 72)
하이원 워터월드 | 강원 | 강원 정선군 사북읍 하이원길 265 (강원랜드 그랜드호텔 앞)
한화리조트 설악 워터피아 | 강원 | 속초시 (미시령로2983번길 111)
아산스파비스 | 충청 | 아산시 음봉면 (아산온천 일원)
유성 족욕체험장 | 충청 | 대전 유성구 봉명동 (계룡스파텔 인근, 유성온천공원)
태안 아일랜드 리솜 오아식스 선셋스파 | 충청 | 충남 태안군 안면읍 꽃지해안로 204
계룡스파텔 대온천장 (유성온천) | 충청 | 대전 유성구 봉명동 (유성온천지구)
능암온천랜드(앙성탄산온천) | 충청 | 충북 충주시 앙성면 새바지길 37
