백운계곡 | 경기북부 | 포천시 이동면 도평리
비둘기낭폭포 | 경기북부 | 포천시 영북면 대회산리
용추계곡 | 경기북부 | 가평군 가평읍 승안리
명지계곡 | 경기북부 | 가평군 북면 도대리 (명지산군립공원)
백둔계곡(백둔수변지구) | 경기북부 | 가평군 북면 백둔리
비금계곡·수동계곡(물골안) | 경기북부 | 남양주시 수동면 비룡로 일대
사나사계곡 | 경기남부 | 양평군 옥천면 용천리
양평 용문계곡 (용문산관광단지) | 경기남부 | 양평군 용문면 신점리 (용문사·천년은행나무 진입로)
가평 어비계곡 (유명산휴양림 입구) | 경기남부 | 가평군 설악면 가일리 (유명산자연휴양림 입구 일원)
광주 무갑리계곡 | 경기남부 | 광주시 초월읍 무갑리 (관산·무갑산 사이)
안성 서운산자연휴양림 계곡 | 경기남부 | 안성시 금광면 배티로 185-39
양평 벽계구곡 | 경기남부 | 양평군 서종면 수입리~노문리 (벽계천, 이항로 생가 인근)
중원계곡(중원폭포) | 경기남부 | 양평군 용문면 중원리
덕산기계곡 | 강원 | 정선군 정선읍 여탄리~덕우리 (덕산기길 110 일원)
무릉계곡 | 강원 | 동해시 삼화동 (삼화로 538)
소금강 | 강원 | 강릉시 연곡면 삼산리 (소금강길 449)
아침가리골 | 강원 | 인제군 기린면 방동리~진동리
흥정계곡 | 강원 | 평창군 봉평면 흥정리
곡운구곡 | 강원 | 화천군 사내면 용담리 (물안골길 일원)
내린천 | 강원 | 인제군 인제읍 합강리~기린면 현리 (내린천수변공원: 인제읍 내린천로 5693
보은 서원계곡 | 충청 | 보은군 장안면 장안로 491-4 일원 (황해동 마을 앞, 속리산 서원리)
쌍곡계곡 | 충청 | 괴산군 칠성면 쌍곡리
화양구곡 | 충청 | 괴산군 청천면 화양리 (화양동길 202)
갈은구곡 | 충청 | 괴산군 칠성면 사은리 (갈론마을)
괴산 선유동계곡 | 충청 | 괴산군 청천면 선유동길 179
금산 12폭포 (성치산 무자치골) | 충청 | 금산군 남이면 구석리 모티마을 (성치산 무자치골)
영동 물한계곡 | 충청 | 영동군 상촌면 물한리 일원 (민주지산 자락)
용하구곡 | 충청 | 제천시 덕산면 월악리·억수리
남원 구룡계곡 (육모정) | 전라 | 남원시 주천면 호경리 16 (육모정 앞)
뱀사골 | 전라 | 남원시 산내면 부운리 (반선마을)
장성 물통골 계곡물놀이장 | 전라 | 장성군 북하면 성암리 967 (백양사·축령산 편백숲 권역)
무주 구천동계곡 | 전라 | 무주군 설천면 삼공리 (구천동관광단지) ~ 두길리
완주 운주계곡 (대둔산) | 전라 | 완주군 운주면 완창리 (대둔산 자락, 완창마을 앞)
장성 남창계곡 | 전라 | 장성군 북하면 남창로 399 (입암산성 홍보관 앞)
정읍 내장산 금선계곡 | 전라 | 정읍시 내장동 (내장사·케이블카 하부역 인근)
피아골 | 전라 | 구례군 토지면 내동리 (연곡사·직전마을)
거창 수승대 | 경상 | 거창군 위천면 은하리길 2 (수승대관광지)
대야산 용추계곡 | 경상 | 문경시 가은읍 완장리 (벌바위마을)
밀양 호박소 (얼음골계곡) | 경상 | 밀양시 산내면 삼양리 (얼음골 케이블카 승강장 인근)
산청 대원사계곡 | 경상 | 산청군 삼장면 유평리 (대원사 주차장~유평마을)
양산 내원사계곡 | 경상 | 양산시 하북면 용연리 (내원사 진입로 일원)
영덕 옥계계곡 | 경상 | 영덕군 달산면 옥계리·옥산리 일원 (팔각산 자락, 오십천 상류)
칠선계곡 | 경상 | 함양군 마천면 추성리 (추성주차장 340-1)
함양 용추계곡 | 경상 | 함양군 안의면 용추휴양림길 158 (용추사·용추폭포 입구)
청도 운문사계곡 | 경상 | 청도군 운문면 운문사길 880 (운문사 주차장 기준)
제주 강정천 | 제주 | 서귀포시 강정동 2895-3 (켄싱턴리조트 서귀포 인근)
제주 돈내코 원앙폭포 | 제주 | 서귀포시 돈내코로 137
제주 솜반천 | 제주 | 서귀포시 서홍동 2565 (중산간동로 8070 일원)
제주 안덕계곡 | 제주 | 서귀포시 안덕면 감산리 346
