골든트리 | 경기북부 | 가평군 가평읍 금대리 (북한강변로 326-124)
스타벅스 더북한강R점 | 경기북부 | 남양주시 화도읍 (북한강변)
카페 몬타나 | 경기북부 | 고양시 일산서구 덕이동 (덕산로312번길 124)
파르코니도 | 경기북부 | 고양시 일산동구 장항동 (킨텍스·일산호수공원 인근)
포지티브스페이스566 | 경기북부 | 김포시 감정동 (검단로 910)
CAFE 8794 | 경기북부 | 파주시 문산읍 (통일로2010번길 36)
대대리135 | 경기북부 | 고양시 덕양구 행주외동
라플란드 | 경기북부 | 파주시 서패동
라플란드 원흥점 | 경기북부 | 고양시 덕양구 원흥동 (3호선 원흥역 인근)
레드브릿지 | 경기북부 | 파주시 광탄면 기산리 (마장호수)
레드파이프 | 경기북부 | 파주시 신촌동 (지목로 17-7)
류재은베이커리 본점 | 경기북부 | 파주시 탄현면 성동리 (요풍길 265, 헤이리·프로방스 인근)
뮌스터담 | 경기북부 | 파주시 상지석동
빵다방 | 경기북부 | 고양시 덕양구 성사동 (흥도로 449, 화정·원흥 인근)
시카사 | 경기북부 | 고양시 일산동구 산황동 (산황로 42)
카페 진정성 김포본점 | 경기북부 | 김포시 양촌읍 석모리
카페더뷰 | 경기북부 | 김포시 대곶면 (덕포진·초지대교 인근)
수연산방 | 서울 | 서울 성북구 성북로26길 8
S.CAF 해방촌 | 서울 | 서울 용산구 소월로26길 12, 아르테소월 3층
누하동401 | 서울 | 서울 종로구 자하문로7길 12
대충유원지 인왕산 | 서울 | 서울 종로구 필운대로 46, 4층
딥블루레이크 | 서울 | 마포구 망원동
보헤미안박이추커피 상암점 | 서울 | 마포구 상암동 (성암로 267, MBC 몰파크 2층)
산모퉁이 | 서울 | 종로구 부암동
청수당 | 서울 | 종로구 익선동
커피 리브레 연남점 | 서울 | 마포구 연남동 (성미산로32길, 동진시장 골목)
클럽에스프레소 | 서울 | 종로구 부암동 (윤동주문학관 앞)
테일러커피 연남1호점 | 서울 | 마포구 연남동 (성미산로 189)
매뉴팩트커피 연희점 | 서울 | 서울 서대문구 연희동 (연희맛로 일대) — 정확 지번 현장 확인 필요
마호가니 강화점 | 인천 | 강화군 (해안남로1844번길 19)
아테리토 | 인천 | 영종구 은하수로 1
코스모40 | 인천 | 서해구 장고개로231번길 9
미음 | 인천 | 영종구 마시란로 119
바다쏭 | 인천 | 연수구 옥련동 (능허대로 16, 송도 인근)
바다앞테라스 | 인천 | 중구 (은하수로 10 더테라스프라자 5층, 영종도)
카페 오라 | 인천 | 중구 (용유서로 380, 을왕리)
카페메종 (메종드블레) | 인천 | 강화군 길상면 (해안남로352번길 20)
알루엣베이커리 | 경기남부 | 용인시 처인구 모현읍 (갈월로 172, 갈월저수지)
정지영커피로스터즈 행궁본점 | 경기남부 | 수원시 팔달구 (신풍로 42)
카페델라고 | 경기남부 | 안성시 원곡면 (만세로 1160, 칠곡저수지 옆)
테라로사 서종점 | 경기남부 | 양평군 서종면 (북한강변)
투슬로우커피 | 경기남부 | 시흥시 정왕동 (오이도)
포레스트아웃팅스 용인점 | 경기남부 | 용인시 기흥구 (농서로 4)
목적지 나인 | 경기남부 | 안성시 양성면 (이화1길 33-4)
이진상회 | 경기남부 | 이천시 (마장면 서이천로 648)
카페 제부리 | 경기남부 | 화성시 서신면 제부도
카포레 | 경기남부 | 양평군 강하면 전수리 (강남로 458)
해갓 | 경기남부 | 화성시 (서신면 살곶이길86번길 53)
호커스포커스로스터스 | 경기남부 | 평택시 (장안웃길 12)
심상 | 경기남부 | 안성시 (원곡면 승량길 43-19 나동)
칠성조선소 | 강원 | 속초시 중앙로46번길 (청초호 옆)
카페 6.55 | 강원 | 평창군 대관령면 (올림픽로 1199)
테라로사 커피공장 강릉본점 | 강원 | 강릉시 구정면 현천길
감자밭 | 강원 | 춘천시 신북읍 신샘밭로
보헤미안 박이추커피 본점 | 강원 | 강릉시 연곡면 홍질목길 (카카오맵 확인)
아야트커피 | 강원 | 고성군 토성면 아야진해변길
베이커리카페 힐로 | 충청 | 태안군 (남면 안면대로 1696)
커피단월 | 충청 | 충주시 (충원대로 55)
나문재 카페 | 충청 | 태안군 안면읍 (통샘길 87-340)
에클로그 | 충청 | 청주시 상당구 (남일면 효덕길 26-84)
커피인터뷰 파도리 | 충청 | 태안군 소원면 (파도길 61-9)
피엠뷰 | 충청 | 태안군 안면읍 해안관광로 (안면도)
SUKSAN(석산) | 전라 | 목포시 (고하대로 588)
모이핀 스카이점 | 전라 | 여수시 (돌산읍 무술목길 59)
호시담 | 전라 | 담양군 (용면 추령로 375-21)
외할머니솜씨 | 전라 | 전주시 완산구 (전주한옥마을, 전동성당 도보 6분)
카페 라피끄 | 전라 | 여수시 돌산읍 무술목길
웨이브온커피 | 경상 | 부산 기장군 장안읍 해맞이로
모모스 로스터리&커피바 | 경상 | 부산 영도구 (봉래나루로 160)
설월당 | 경상 | 경주시 황남동 황리단길
