스타필드 고양 | 경기북부 | 고양시 덕양구 동산동 (고양대로 1955)
파주출판도시 & 지혜의숲 | 경기북부 | 경기 파주시 (회동길 145)
포천 신읍5일장 (포천장) | 경기북부 | 경기 포천시 (포천천 둔치 신읍동 일대)
현대프리미엄아울렛 김포점 | 경기북부 | 경기 김포시 (고촌읍 아라육로152번길 100)
현대프리미엄아울렛 스페이스원 (남양주) | 경기북부 | 경기 남양주시 (다산순환로 50)
신세계사이먼 파주 프리미엄 아울렛 | 경기북부 | 파주시 탄현면 (필승로 200)
의정부 제일시장 | 경기북부 | 의정부시 의정부동 (태평로73번길 20)
헤이리 예술마을 | 경기북부 | 파주시 탄현면 (헤이리마을길 82-105 일대)
경동시장 & 스타벅스 경동1960 | 서울 | 서울 동대문구 (고산자로36길 3)
광장시장 | 서울 | 종로구 예지동 (창경궁로 88)
남대문시장 | 서울 | 서울 중구 남대문시장4길 21
더현대 서울 | 서울 | 영등포구 여의도동 (여의대로 108)
문래창작촌 | 서울 | 서울 영등포구 (도림로128가길 13-8 일대)
서울풍물시장 | 서울 | 서울 동대문구 (천호대로4길 21)
스타필드 코엑스몰 & 별마당도서관 | 서울 | 서울 강남구 (영동대로 513)
압구정 로데오거리 | 서울 | 서울 강남구 압구정로 일대 (압구정로데오역 기준)
용리단길 | 서울 | 서울 용산구 (삼각지역~신용산역 사이 골목)
통인시장 (엽전도시락) | 서울 | 종로구 통인동 (자하문로15길 18)
힙지로 (을지로 노포·인쇄골목) | 서울 | 서울 중구 (을지로3가역 일대, 인쇄골목·노가리골목)
고투몰 (고속터미널 지하상가) | 서울 | 서울 서초구 신반포로 지하 200 (고속터미널역 지하)
동묘 구제시장 (동묘 벼룩시장) | 서울 | 종로구 숭인동 (동묘앞역 3번 출구 일대)
망원시장 & 망리단길 | 서울 | 마포구 망원동 (포은로8길 14)
방산종합시장 | 서울 | 서울 중구 을지로33길 18-1 (방산동)
서울중앙시장 & 황학동 주방거리 | 서울 | 서울 중구 퇴계로85길 36 (신당동)
성수동 연무장길 | 서울 | 성동구 성수동2가 (연무장길 일대)
연남동 거리 (연트럴파크) | 서울 | 마포구 연남동 (경의선숲길 일대)
익선동 한옥거리 | 서울 | 종로구 익선동 (수표로28길 일대)
강화 풍물시장 & 강화 5일장 | 인천 | 인천 강화군 (강화읍 중앙로 17-9)
부평 문화의거리 & 부평역 지하도상가(부평모두몰) | 인천 | 인천 부평구 부평대로 지하7 (부평역 지하도상가) / 지상 부평 문화의거
소래포구 종합어시장 | 인천 | 인천 남동구 아암대로 1634-1
신포국제시장 | 인천 | 인천 중구 신포동 (우현로49번길 11-5)
현대프리미엄아울렛 송도점 | 인천 | 인천 연수구 송도국제대로 123
인천 개항장 거리 & 차이나타운 | 인천 | 인천 중구 중앙동·북성동 (차이나타운로·신포로 일대)
인천 신기시장 | 인천 | 인천 미추홀구 (신기길58번길 6)
