가평 5150독채풀빌라&노천탕 | 경기북부 | 가평군 상면 (청군로 715-53)
가평 BROOK5(브룩5) | 경기북부 | 가평군 가평읍 (태봉두밀로 162)
가평 무지개 독채펜션&글램핑 | 경기북부 | 가평군 북면 (꽃넘이길 115-47, 제령리)
가평 빌라코지 풀빌라 | 경기북부 | 가평군 청평면 호명리 (호반로 753-7)
가평 카라펜션 | 경기북부 | 가평군 가평읍 두밀리 (태봉두밀로 269-101)
가평 호명나루165풀빌라 | 경기북부 | 가평군 청평면 (호명리길 165-9)
게스트하우스 지지향 | 경기북부 | 파주시 회동길 145 (파주출판도시 아시아출판문화정보센터 내)
포천 산정리조트 펜션&카라반 | 경기북부 | 포천시 영북면 (산정호수로 704, 카라반동 688)
포천 포레스트풀빌라 | 경기북부 | 포천시 영중면 (물안2길 48)
가평 서락나인 | 경기북부 | 가평군 설악면 전위골길 61-5
파주 데이오프파주 | 경기북부 | 파주시 적성면 (달빛길 264-117)
파주 머스트화이트 | 경기북부 | 파주시 법원읍 (초리골길 515-5)
포천 비욘더블루 풀빌라 | 경기북부 | 포천시 소흘읍 (죽엽산로298번길 70-91)
포천 스테이쉼온 | 경기북부 | 포천시 (예약 확정 시 상세주소 안내, 서울 강북에서 차로 약 50분)
한화리조트 산정호수 안시 | 경기북부 | 포천시 영북면 (산정호수 관광지)
L7 홍대 바이 롯데 | 서울 | 마포구 (양화로 141)
글래드 여의도 | 서울 | 영등포구 여의도동 (의사당대로 16)
노보텔 스위트 앰배서더 서울 용산 | 서울 | 용산구 한강로3가 (청파로20길 95, 서울드래곤시티)
라이즈 오토그래프 컬렉션 | 서울 | 마포구 서교동 (양화로 130)
몬드리안 서울 이태원 | 서울 | 용산구 이태원동 (장문로 23)
안다즈 서울 강남 | 서울 | 강남구 (논현로 854)
조선 팰리스 서울 강남 | 서울 | 강남구 테헤란로 231 (역삼동, 센터필드 이스트타워 상층부)
페어몬트 앰배서더 서울 | 서울 | 영등포구 (여의대로 108)
호텔 나루 서울 - 엠갤러리 | 서울 | 마포구 도화동 (마포대로 8)
락고재 서울 북촌 | 서울 | 종로구 (계동길 49)
레스케이프 서울 명동, 럭셔리 컬렉션 | 서울 | 중구 회현동1가 210 (회현역 인근)
보눔1957 한옥 앤 부티크 | 서울 | 종로구 북촌로 일대 (계동, 안국역 도보권)
비스타 워커힐 서울 | 서울 | 광진구 광장동 (워커힐로 177)
스탠포드 호텔 서울 | 서울 | 마포구 상암동 (월드컵북로58길 15)
강화도 코너스톤스파&풀빌라펜션 | 인천 | 강화군 삼산면 석모도 (삼산북로263번길 47-17)
네스트호텔 | 인천 | 영종구 운서동 2877-1
쉐라톤 그랜드 인천 호텔 | 인천 | 연수구 (컨벤시아대로 153)
오크우드 프리미어 인천 | 인천 | 연수구 (컨벤시아대로 165)
인스파이어 엔터테인먼트 리조트 | 인천 | 영종구(구 중구) (공항문화로 127)
파라다이스시티 | 인천 | 영종구 운서동 (영종해안남로321번길 186)
하버파크호텔 | 인천 | 제물포구(구 중구) (제물량로 217)
강화 나랑스테이 | 인천 | 인천 강화군 화도면 해안남로 2291-9
강화도 품안애 스파독채펜션 | 인천 | 강화군 화도면 (해안남로 2483-18)
경원재 바이 워커힐 (구 경원재 앰배서더 인천) | 인천 | 연수구 송도동 (테크노파크로 200)
그랜드 하얏트 인천 | 인천 | 영종구 운서동 (영종해안남로321번길 208)
오라카이 송도파크호텔 | 인천 | 인천 연수구 테크노파크로 151 (송도 센트럴파크 인근)
곤지암리조트 (LG 곤지암리조트) | 경기남부 | 광주시 도척면 (도척윗로 278)
그래비티 조선 서울 판교, 오토그래프 컬렉션 | 경기남부 | 성남시 분당구 (판교역로146번길 2)
노보텔 앰배서더 수원 | 경기남부 | 수원시 팔달구 덕영대로 902 (수원역 AK플라자 연결)
양평 블루힐펜션 | 경기남부 | 양평군 양평읍 (백안3리길 138)
에버랜드 리조트 (에버랜드·캐리비안베이·홈브릿지·글렌로스) | 경기남부 | 용인시 처인구 포곡읍 (에버랜드로 199)
용인 스테이뷰 풀빌라 | 경기남부 | 용인시 처인구 양지면 (교동로32번길 31-13)
지산 포레스트 리조트 | 경기남부 | 이천시 마장면 (지산로 267)
소노벨 양평 (구 소노휴 양평, 구 대명리조트 양평) | 경기남부 | 양평군 — 남한강 인근
안성 프로방스펜션 | 경기남부 | 안성시 죽산면 (용설호수길 134)
양평 생각속의집 | 경기남부 | 양평군 단월면 (대부록길 37)
양평 아그니초시매한옥스테이 | 경기남부 | 양평군 서종면 (화서로 1129-33)
양평 우노하우스풀빌라 | 경기남부 | 양평군 청운면 (신론새터길 36)
양평 풀빌라 마노아 | 경기남부 | 양평군 서종면 정배리 (중미산로 884-13)
에덴파라다이스호텔 | 경기남부 | 이천시 마장면 (서이천로 일대, 영동고속도로 마장IC 인근)
여주 썬밸리호텔 | 경기남부 | 여주시 강변유원지길 45 (남한강변)
여주 올에이풀빌라 | 경기남부 | 여주시 강천면 (가정긴골길 128-6)
이천 미란다호텔 | 경기남부 | 이천시 (이섭대천로 1417)
코트야드 바이 메리어트 수원 | 경기남부 | 수원시 영통구 (삼성로 267)
한화리조트 용인 베잔송 | 경기남부 | 용인시 (에버랜드·플라자CC 인근)
공주한옥마을 | 충청 | 공주시 관광단지길 일대 (무령왕릉·국립공주박물관 옆)
부여 자온대펜션 | 충청 | 부여군 규암면 (수북로 34-1)
소노벨 단양 (오션플레이 단양, 구 대명리조트 단양) | 충청 | 단양군 단양읍 (삼봉로 187-17)
소노벨 천안 (오션어드벤처, 구 테딘워터파크) | 충청 | 천안시 동남구 성남면 (소노로 1)
태안(안면도) 지중해아침펜션 | 충청 | 태안군 고남면 (큰장돌길 141-98)
한화리조트 대천 파로스 | 충청 | 보령시 신흑동 (대천해수욕장)
단양 글램핑&펜션 | 충청 | 단양군 단성면 (선암계곡로, 선암계곡 앞)
단양 더밸리펜션 | 충청 | 단양군 대강면 (사인암길 61-8)
더위트도고 (구 BS도고콘도) | 충청 | 아산시 도고면 (기곡로62번길 6-8)
롯데리조트 부여 | 충청 | 부여군 규암면 (백제문로 400)
보령(대천) 스테이우린 | 충청 | 보령시 신흑동 (고잠2길 16-10)
신라스테이 천안아산 | 충청 | 천안시 서북구 불당동 (동서대로 177) — 천안아산역 인근
아일랜드 리솜 (구 리솜 오션캐슬) | 충청 | 태안군 안면읍 (안면도)
태안 안면도 블루아일랜드 스파 풀빌라 | 충청 | 태안군 안면읍 (밧개길, 밧개해변 인근)
포레스트 리솜 (제천) | 충청 | 제천시 백운면 (금봉산 자락, 리솜 포레스트 단지)
호텔 오노마 대전 (오토그래프 컬렉션) | 충청 | 대전 유성구 (대덕대로 일대, 국제과학비즈니스벨트·대덕연구단지 인근)
