고성 안녕바다카라반펜션 | 강원 | 고성군 죽왕면 (천학정길 65-1)
롯데리조트 속초 | 강원 | 속초시 대포동 (대포항길 186)
모나 용평 (구 용평리조트) | 강원 | 평창군 대관령면 (올림픽로 715 일대)
브리드호텔 양양 | 강원 | 양양군 현남면 인구리 (인구항길 17)
세인트존스호텔 | 강원 | 강릉시 강문동 (창해로 307)
소노문 델피노 / 소노캄 델피노 (구 델피노 골프앤리조트, 구 대명 설악) | 강원 | 고성군 토성면 (미시령옛길 1153) — 속초 시내 차로 15분
소노벨 비발디파크 (구 대명리조트 비발디파크) | 강원 | 홍천군 서면 (한치골길 262)
씨마크 호텔 | 강원 | 강릉시 해안로406번길 2 (강문동, 경포해변 도보 6분)
엘리시안 강촌 | 강원 | 춘천시 남산면 (북한강변길 688)
오크밸리 리조트 | 강원 | 원주시 지정면 (오크밸리1길 66)
웰리힐리파크 (구 성우리조트) | 강원 | 횡성군 둔내면 — 둔내IC 차로 10분, 둔내역 7분
한화리조트 설악 쏘라노 (구 한화리조트 설악) | 강원 | 속초시 (미시령로2983번길 111)
휘닉스 평창 (구 휘닉스파크) | 강원 | 평창군 봉평면 (태기로 174)
고성 아야트B | 강원 | 고성군 토성면 (아야진해변길 137)
설해원 | 강원 | 양양군 손양면 (공항로 230, 동호리) — 양양국제공항 남쪽
속초 비로소 독채펜션 | 강원 | 속초시 장사동 (장성천길 61-27)
스카이베이 호텔 경포 | 강원 | 강릉시 해안로 476 (경포해변 정면)
쏠비치 호텔&리조트 양양 (오션플레이 운영) | 강원 | 양양군 손양면 (선사유적로 678)
파크로쉬 리조트앤웰니스 | 강원 | 정선군 북평면 (중봉길 9-12) — 가리왕산 자락
평창 오대산힐링타운 별빛동 | 강원 | 평창군 진부면 (오대산 월정사 인근)
하이원리조트 | 강원 | 정선군 고한읍 (하이원길 265-1)
홀리데이 인 리조트 알펜시아 평창 | 강원 | 평창군 대관령면 용산리 (솔봉로 325)
홍천 인마이라이프 독채펜션 | 강원 | 홍천군 서면 (팔봉강변길 273)
홍천 헤리티스 풀빌라 | 강원 | 홍천군 북방면 장항리 (장항2길 14-5)
나비잠 한옥호텔 | 전라 | 전주시 완산구 전동 (한옥마을 내, 팔달로 150-17)
디오션리조트 여수 (디오션 호텔&리조트 / 디오션 워터파크) | 전라 | 여수시 (소호로 295)
라한호텔 전주 | 전라 | 전주시 완산구 (기린대로 85)
무주덕유산리조트 | 전라 | 무주군 설천면 (만선로 185)
소노벨 변산 (오션플레이 변산, 구 대명리조트 변산) | 전라 | 부안군 변산면 (변산해변로 51)
소노캄 여수 | 전라 | 여수시 수정동 (오동도로 111)
에코그라드호텔 순천 | 전라 | 순천시 (백강로 234)
호텔현대 바이 라한 목포 | 전라 | 영암군 삼호읍 (대불로 91)
고창 웰파크시티 (석정온천휴스파 · 웰파크호텔) | 전라 | 고창군 고창읍 (석정2로 173)
담양 한옥에서 | 전라 | 담양군 창평면 돌담길 88-9 (창평 슬로시티)
엘도라도리조트 (신안 증도) | 전라 | 신안군 증도면 우전리 233-42 (우전해변 바로 앞)
여수 뷰21 오션뷰스파&독채펜션 | 전라 | 여수시 화양면 장수리 (안포장수로, 장등해변)
윤달 (담양 한옥 독채 스테이) | 전라 | 담양군 담양읍 삼만리 (오정길)
전주 왕의지밀 한옥호텔 | 전라 | 전주시 완산구 (전주한옥마을에서 차로 약 5분)
켄싱턴리조트 지리산남원 | 전라 | 남원시 (소리길 66) — 광한루원 인근
히든베이 호텔 여수 | 전라 | 여수시 신월로 496-25 (돌산대교 차로 5분)
경주 황남관 한옥호텔 | 경상 | 경주시 황남동 (포석로 1038, 황리단길 초입)
