국립유명산자연휴양림 야영장 | 경기북부 | 가평군 설악면 가일리 (유명산길 79-53)
양주 미술관옆캠핑장 | 경기북부 | 경기 양주시 장흥면 권율로 185
자라섬 캠핑장 | 경기북부 | 가평군 가평읍 달전리 (자라섬로 60)
축령산자연휴양림 야영장 | 경기북부 | 남양주시 수동면 외방리 (축령산로 299)
한탄강관광지 오토캠핑장 | 경기북부 | 경기 연천군 전곡읍 선사로 76
산정호수 가족글램핑장 | 경기북부 | 포천시 영북면 산정리 (산정호수로411번길 13)
연천 재인폭포 오토캠핑장 | 경기북부 | 연천군 연천읍 고문리 (현문로508번길 140)
임진각 평화누리캠핑장 | 경기북부 | 파주시 문산읍 마정리 (임진각로 148-40)
잣향기푸른숲캠핑장 | 경기북부 | 경기 가평군 상면 행현리 805-1
포천 글램파크 글램핑&카라반 | 경기북부 | 경기 포천시 이동면 화동로 1925-47
강동그린웨이 가족캠핑장 | 서울 | 서울 강동구 천호대로206길 87 (둔촌동, 일자산자연공원)
노을캠핑장 | 서울 | 서울 마포구 상암동 노을공원 내
중랑캠핑숲 가족캠핑장 | 서울 | 서울 중랑구 망우동 중랑캠핑숲 내
천왕산 가족캠핑장 | 서울 | 서울 구로구 연동로12길 149 (항동 149-1)
초안산 캠핑장 | 서울 | 서울 노원구 마들로5길 89-27 (월계동)
한강 밤핑 – 뚝섬한강공원 | 서울 | 서울 광진구 강변북로 139 (뚝섬한강공원 '한강플플' 잔디밭)
한강 밤핑 – 여의도한강공원 | 서울 | 서울 영등포구 여의동로 330 (여의도한강공원 물빛무대 앞 잔디밭)
한강공원 난지캠핑장 | 서울 | 마포구 상암동 (한강난지로 28)
앵봉산 가족캠핑장 | 서울 | 서울 은평구 진관동 382-2 (서오릉근린공원 내)
우이동 가족캠핑장 | 서울 | 강북구 우이동 (삼양로181길 28)
강화 덕산국민여가캠핑장 | 인천 | 인천 강화군 내가면 강화서로227번길 91
덕적도 자연휴양림 야영장 | 인천 | 인천 옹진군 덕적면 덕적남로 220
송도스포츠파크 캠핑장 | 인천 | 인천 연수구 인천신항대로892번길 40
동막해변 야영장 | 인천 | 강화군 화도면 동막리
