국립수목원(광릉숲) | 경기북부 | 포천시 소흘읍 직동리
벽초지문화수목원 | 경기북부 | 파주시 광탄면 창만리
실학박물관·다산유적지 | 경기북부 | 남양주시 (조안면 다산로747번길 16)
아침고요수목원 | 경기북부 | 가평군 상면 행현리
아쿠아플라넷 일산 | 경기북부 | 고양시 일산서구 대화동 (한류월드)
양주시립 장욱진미술관 | 경기북부 | 양주시 장흥면 석현리
오두산 통일전망대 | 경기북부 | 파주시 (탄현면 필승로 369)
의정부미술도서관 | 경기북부 | 의정부시 민락동
임진각 평화누리공원 | 경기북부 | 파주시 문산읍 마정리
전곡선사박물관 | 경기북부 | 연천군 (전곡읍 평화로443번길 2)
포천아트밸리 | 경기북부 | 포천시 신북면 기지리
행주산성 | 경기북부 | 고양시 덕양구 행주내동
헤이리 예술마을 | 경기북부 | 파주시 탄현면 법흥리
N서울타워 (남산서울타워) | 서울 | 용산구 용산동2가 (남산)
국립중앙박물관 | 서울 | 용산구 용산동6가 (서빙고로)
국립항공박물관 | 서울 | 강서구 공항동 (김포공항 옆)
국립현대미술관 서울 | 서울 | 종로구 소격동 (삼청로)
리움미술관 | 서울 | 용산구 한남동
문화비축기지 | 서울 | 마포구 성산동 (상암)
서대문형무소역사관 | 서울 | 서대문구 현저동
서울스카이 (롯데월드타워 전망대) | 서울 | 송파구 신천동 (잠실)
서울식물원 | 서울 | 강서구 마곡동
코엑스 아쿠아리움(씨라이프) | 서울 | 강남구 삼성동
롯데월드 어드벤처 | 서울 | 송파구 잠실동
하늘공원(월드컵공원) | 서울 | 마포구 상암동
국립생물자원관 전시관 | 인천 | 서해구 환경로 42
국립세계문자박물관 | 인천 | 연수구 송도동 (센트럴파크)
인천상륙작전기념관 | 인천 | 연수구 (청량로 138)
한국이민사박물관 | 인천 | 제물포구(구 중구) (월미로 329)
송월동 동화마을·차이나타운 | 인천 | 중구 송월동·북성동
인천아트플랫폼 | 인천 | 제물포구(구 중구) (제물량로218번길 3)
파라다이스시티 원더박스 | 인천 | 영종구 영종해안남로321번길 186
광명동굴 | 경기남부 | 광명시 가학동
국립과천과학관 | 경기남부 | 과천시 과천동 (상하벌로)
물향기수목원 | 경기남부 | 오산시 (청학로 211)
백남준아트센터 | 경기남부 | 용인시 기흥구 상갈동
안성팜랜드 | 경기남부 | 안성시 (공도읍 대신두길 28)
에버랜드 | 경기남부 | 용인시 처인구 포곡읍
경기도자미술관(이천 세라피아) | 경기남부 | 이천시 (경충대로2697번길 263)
수원화성·화성행궁 | 경기남부 | 수원시 팔달구 남창동·신풍동
시흥갯골생태공원 | 경기남부 | 시흥시 (동서로 287)
한국민속촌 | 경기남부 | 용인시 기흥구 보라동
국립산악박물관 | 강원 | 속초시 노학동 (미시령로 3054)
국립조선왕조실록박물관 | 강원 | 평창군 진부면 (오대산로 176, 월정사 옆)
국립춘천박물관 | 강원 | 춘천시 석사동 (우석로 70)
남이섬 | 강원 | 춘천시 남산면 (선착장은 가평)
뮤지엄산 | 강원 | 원주시 지정면 (오크밸리)
소금산 그랜드밸리 (출렁다리·울렁다리) | 강원 | 원주시 지정면 (지정로 317, 간현관광지)
정선 화암동굴 | 강원 | 정선군 화암면 (화암동굴길 12)
정동진·모래시계공원 | 강원 | 강릉시 강동면 정동진리
하슬라아트월드 | 강원 | 강릉시 강동면 (율곡로 1441)
국립공주박물관 | 충청 | 공주시 웅진동 (관광단지길 34)
국립부여박물관 | 충청 | 부여군 부여읍 (금성로 5)
국립중앙과학관(대전) | 충청 | 대전 유성구 도룡동 (대덕대로)
국립현대미술관 청주 (개방 수장고) | 충청 | 청주시 청원구 내덕동 (상당로 314, 옛 연초제조창)
단양 고수동굴 | 충청 | 단양군 단양읍 (고수동굴길 8)
대전시립미술관 | 충청 | 대전 서구 만년동 (둔산대로 155)
백제문화단지 | 충청 | 부여군 규암면 (백제문로 455)
이응노미술관 | 충청 | 대전 서구 (둔산대로 157)
단양 수양개빛터널 | 충청 | 단양군 (적성면 수양개유적로 390)
만천하스카이워크 | 충청 | 단양군 적성면 애곡리
서산 해미읍성 | 충청 | 서산시 해미면 (남문2로 143)
청남대 | 충청 | 청주시 상당구 문의면
국립광주박물관 | 전라 | 광주 북구 매곡동 (하서로 110)
