반구정나루터집 | 경기북부 | 파주시 문산읍 (반구정)
송원막국수 | 경기북부 | 가평군 (가평읍 가화로 76-1)
오뎅식당 | 경기북부 | 의정부시 (호국로1309번길 7)
원조이동김미자할머니갈비 | 경기북부 | 포천시 (이동면 화동로 2087)
일산칼국수 본점 | 경기북부 | 고양시 일산동구 정발산동
주막보리밥 서오릉본점 | 경기북부 | 고양시 덕양구 용두동 (서오릉)
대명횟집 | 경기북부 | 김포시 대곶면 (대명항)
대영정육점식당 킨텍스점 | 경기북부 | 고양시 일산서구 대화동 (킨텍스)
삼송하루애 | 경기북부 | 고양시 덕양구 삼송동 (힐스테이트삼송역 상가 1층)
소나무집 | 경기북부 | 파주시 광탄면 (보광사 입구)
초마면가 | 경기북부 | 파주시 운정(목동동)
초원(김포 고촌) | 경기북부 | 김포시 고촌읍 풍곡리
파주장단콩두부 | 경기북부 | 파주시 월롱면 (통일로변)
능동미나리 | 서울 | 성동구 성수동2가 (연무장길)
몽탄 | 서울 | 용산구 한강로1가 (신용산·삼각지, 백범로99길)
뱃고동 | 서울 | 강남구 신사동 (압구정 로데오, 언주로172길)
시오 연희동본점 | 서울 | 서대문구 연희동
안동장 | 서울 | 중구 을지로3가 (힙지로 골목, 을지로 124)
영화루 | 서울 | 종로구 누상동 (서촌 자하문로7길)
우래옥 | 서울 | 중구 주교동 (을지로4가역)
은주정 | 서울 | 중구 주교동 (방산시장 골목, 창경궁로8길)
이문설렁탕 | 서울 | 종로구 견지동 (조계사 옆, 우정국로)
자하손만두 | 서울 | 종로구 부암동 (백석동길, 백사실계곡 초입)
장가구 | 서울 | 은평구 역촌동 (응암역·역촌역 사이)
청진옥 | 서울 | 종로구 청진동 (종로1가 르메이에르 종로타운, 옛 피맛골)
체부동잔치집 | 서울 | 종로구 체부동 (서촌 금천교시장 골목, 자하문로1길)
한남동한방통닭 | 서울 | 용산구 한남동 (한남오거리 뒷골목, 대사관로34길)
한추 | 서울 | 강남구 신사동 (가로수길 끝자락, 논현로175길)
훼미리손칼국수 | 서울 | 성동구 성수동1가 (왕십리로, 뚝섬역 인근)
88조개 | 서울 | 송파구 잠실동 (잠실새내역 먹자골목, 백제고분로7길)
누하의 숲 | 서울 | 종로구 옥인동 (서촌)
방이샤브샤브칼국수 | 서울 | 송파구 방이동 (방이 먹자골목, 양재대로71길)
부영 도가니탕 | 서울 | 종로구 삼청동 (북촌로, 가회동 초입)
육회자매집 | 서울 | 종로구 예지동 광장시장
을지면옥 | 서울 | 종로구 낙원동 (종로3가역)
이한진 숙성회 | 서울 | 강동구 천호동 (천호역 구천면로, 2층)
헤키 | 서울 | 마포구 망원동 (망원역 2번출구 도보 2분)
경인식당(경인면옥) | 인천 | 동구 (쌍우물로 23)
신승반점 | 인천 | 제물포구 차이나타운로44번길 31-3
원조신포닭강정 | 인천 | 제물포구 우현로49번길 3
개항로통닭 | 인천 | 제물포구 참외전로 164
별빛조개포차 | 인천 | 영종구 마시란로 233
연경 | 인천 | 제물포구 차이나타운로 41
왔다냉면 | 인천 | 동구 (화평로 24)
일억조식당 | 인천 | 강화군 강화읍 관청리 (용흥궁공원 인근)
가보정 | 경기남부 | 수원 팔달구 인계동 (장다리로, 1·2·3관)
고기리막국수 | 경기남부 | 용인 수지구 고기동 (이종무로, 낙생저수지 가는 길)
본수원갈비 본점 | 경기남부 | 수원시 팔달구 우만동 (아주대 인근)
윤밀원 | 경기남부 | 성남 분당구 정자동 (백현로, 정자역 인근)
봉덕칼국수 | 경기남부 | 과천시 과천동 (궁말로, 서울대공원·관악산 가는 길)
옥천냉면 황해식당 | 경기남부 | 양평군 옥천면
유성통닭 | 경기남부 | 안양 동안구 관양동 (인덕원역 뒷골목, 인덕원로24번길)
제일식당 | 경기남부 | 용인 처인구 백암면 (백암5일장터 옆, 백암로201번길)
조선평양냉면 | 경기남부 | 화성 동탄 영천동 (동탄기흥로520번가길)
교동반점 본점 | 강원 | 강릉시 교동 (강릉대로 205)
단천식당 | 강원 | 속초시 청호동 (아바이마을길 17, 아바이마을)
미가연 | 강원 | 평창군 봉평면 (기풍로 108)
백촌막국수 | 강원 | 고성군 토성면 백촌리
엄지네포장마차 본점 | 강원 | 강릉시 포남동
1.5닭갈비 | 강원 | 춘천시 후평동 (강원대 후문 먹자골목)
나상명강릉초당순두부 | 강원 | 강릉시 초당동 (초당순두부마을)
동광식당 | 강원 | 정선군 정선읍 (녹송1길 27, 정선5일장 인근)
봉포머구리집 | 강원 | 속초시 영랑동 (영랑해안길)
해촌 | 강원 | 양양군 손양면 (동명로 81)
덕수식당 | 충청 | 태안군 (태안읍 중앙로 133-8)
청화집 | 충청 | 천안시 동남구 병천면 (충절로 1749, 병천순대거리)
충남집순대 | 충청 | 천안시 동남구 (병천면 충절로 1748)
한일식당 | 충청 | 예산군 (삽교읍 삽교역로 58)
광천식당 | 충청 | 대전 중구 선화동
남주동해장국 | 충청 | 청주시 상당구 남주동 (육거리시장 인근)
새이학가든 | 충청 | 공주시 금성동 (금강공원길 15-2, 금강 둔치 인근)
성원 마늘약선요리 | 충청 | 단양군 (단양읍 삼봉로 59)
영성각 | 충청 | 서산시 해미면 (해미읍성 앞)
장다리식당 | 충청 | 단양군 단양읍
서울식당 | 충청 | 태안군 안면읍 (방포항길 113, 방포항)
가족회관 | 전라 | 전주시 완산구 중앙동3가 (전라감영 앞)
건봉국밥 | 전라 | 순천시 장평로 65 (아랫장 인근)
두꺼비게장 | 전라 | 여수시 봉산동 (봉산 게장거리)
복성루 | 전라 | 군산시 미원동 (월명로 382)
승일식당 | 전라 | 담양군 담양읍 (중앙로 98-1)
영미오리탕 본점 | 전라 | 광주 북구 유동 (경양로 126, 유동 오리탕거리)
왱이집 | 전라 | 전주시 완산구 (동문길 88, 한옥마을 인근)
초원음식점 | 전라 | 목포시 (근대역사관·유달산우체국 인근)
부산집 | 전라 | 남원시 천거동 (요천로 1411, 남원 추어탕거리)
새집추어탕 | 전라 | 남원시 천거동 (요천로 1397, 남원 추어탕거리)
순복식당 | 전라 | 순천시 북문길 65 (웃장 국밥거리)
신식당 | 전라 | 담양군 담양읍 (담주2길 18-13)
뚱보할매김밥집 | 경상 | 통영시 (강구안·중앙시장 앞)
만성복집 | 경상 | 통영시 서호동 (새터길 12-13, 서호시장 안)
본전돼지국밥 | 경상 | 부산 동구 초량동 (부산역 6번 출구 도보 2~5분)
옥야식당 | 경상 | 안동시 옥야동 (중앙시장2길 46, 안동중앙신시장 안)
원조개금밀면 | 경상 | 부산 부산진구 개금동 (개금골목시장 안)
해운대암소갈비집 | 경상 | 부산 해운대구 우동 (해운대해변로 333)
까꾸네 모리국수 | 경상 | 포항시 남구 구룡포읍 (호미로 239-13, 구룡포 근대문화거리 인근
까치구멍집 | 경상 | 안동시 성곡동 (월영교 · 안동민속촌 인근)
마라톤집 | 경상 | 부산 부산진구 부전동 (서면 롯데백화점 뒷골목)
백만석 | 경상 | 거제시 상동동 (계룡로 47 오헌빌딩 2~3층, 포로수용소 인근)
