가평 자라섬 씽씽겨울축제 | 경기북부 | 가평군 자라섬 일원 (가평역 인근)
양주 눈꽃축제 눈썰매장 | 경기북부 | 양주시 장흥면 권율로 594 (장흥자연휴양림)
파주 초리골 눈썰매장 | 경기북부 | 파주시 법원읍 초리골길 138-9
포천 백운계곡 동장군축제 | 경기북부 | 포천시 이동면 백운계곡 일원 (포화로 236-11)
원마운트 스노우파크 | 경기북부 | 고양시 일산서구 한류월드로 300 (킨텍스 인근 원마운트)
노원 씽씽 눈썰매장 | 서울 | 노원구 중랑천변 (서울과학기술대 인근 체육공원 일원)
동대문구 눈썰매장 (중랑천 장안1수변공원) | 서울 | 동대문구 장안동 19-6 일대 (장안1수변공원 야외수영장 부지)
뚝섬한강공원 눈썰매장 | 서울 | 광진구 자양동 112 (뚝섬한강공원 수영장 부지, 7호선 자양역 2번
성동구 무지개 눈썰매장 | 서울 | 성동구 행당동 76-3 살곶이길 327 (무지개텃밭 일원, 2호선 한
송파 하하호호 눈썰매장 | 서울 | 송파구 충민로 66 (문정동 가든파이브 라이프 중앙광장)
양재천 겨울 눈놀이터 | 서울 | 서초구 양재천동 484 (양재천수영장 부지)
여의도한강공원 눈썰매장 | 서울 | 영등포구 여의도동 82-9 (여의도한강공원 제3주차장 옆, 9호선 국
잠원한강공원 눈썰매장 | 서울 | 서초구 잠원로 145-57 (잠원한강공원 테니스장 옆, 3호선 잠원역
강화 양오낚시터 빙어축제 | 인천 | 인천 강화군 송해면 양오리 134-4 (양오낚시터)
화도진 스케이트장 썰매장 | 인천 | 인천 동구 동인천역 북광장 (경인선 동인천역 바로 앞)
옥토끼우주센터 눈썰매장 | 인천 | 인천 강화군 불은면 강화동로 403 (옥토끼우주센터 내)
경기도담뜰 겨울 눈밭 놀이터 | 경기남부 | 수원시 영통구 경기융합타운 경기도청 신청사 앞 경기도담뜰 광장
곤지암리조트 눈썰매장 | 경기남부 | 광주시 도척면 도척윗로 278
곤지암리조트 스키장 | 경기남부 | 광주시 도척면 (도척웃로 278)
서울랜드 스노우펀랜드 | 경기남부 | 과천시 광명로 181 (서울랜드 피크닉광장, 4호선 대공원역)
에버랜드 스노우버스터 | 경기남부 | 용인시 처인구 포곡읍 에버랜드로 199 (알파인빌리지)
월곶에코피아 눈썰매장 | 경기남부 | 시흥시 월곶동 월곶에코피아
의왕 왕송호수 겨울축제 눈썰매장 (겨울아 놀자) | 경기남부 | 의왕시 왕송못동로 307 (왕송호수공원 공영주차장 일원)
지산 포레스트 리조트 스키장 | 경기남부 | 이천시 마장면 (설봉로 267)
성남종합운동장 눈썰매장 | 경기남부 | 성남시 중원구 성남종합운동장 야외주차장 부지
모나 용평리조트 (용평스키장) | 강원 | 평창군 대관령면 (올림픽로 715)
비발디파크 스노위랜드 | 강원 | 홍천군 서면 한치골길 262 (소노벨 비발디파크 스키월드 내)
오투리조트 스키장 | 강원 | 태백시 서학로 861
웰리힐리파크 스노우파크 | 강원 | 횡성군 둔내면 (경강로 8321)
평창송어축제 눈썰매장 | 강원 | 평창군 진부면 경강로 3562 (오대천 일원)
하이원리조트 눈썰매장 | 강원 | 정선군 하이원리조트 마운틴 스키하우스 마운틴플라자
하이원리조트 스키장 | 강원 | 정선군 고한읍 (하이원길 265)
화천 산천어축제 얼음썰매·눈썰매 | 강원 | 화천군 화천읍 화천천 일원
대관령 눈꽃축제 눈썰매장 | 강원 | 평창군 대관령면 대관령로 135-9 일원 (송천 인근)
비발디파크 스키월드 (소노벨 비발디파크) | 강원 | 홍천군 서면 (한치골길 262)
알펜시아 리조트 스키장 (Ski700) | 강원 | 평창군 대관령면 (솔봉로 325)
엘리시안 강촌 스키장 | 강원 | 춘천시 남산면 (북한강변길 688)
오크밸리 리조트 스노우파크 | 강원 | 원주시 지정면 (오크밸리2길 58)
원주 젊음의광장 눈썰매장 | 강원 | 원주시 젊음의 광장 (원주종합운동장 인근)
휘닉스 평창 (휘닉스파크 스노우파크) | 강원 | 평창군 봉평면 (태기로 174)
휘닉스 평창 스노우빌리지 | 강원 | 평창군 봉평면 태기로 174 (휘닉스 평창 리조트 내)
대전 동구 어린이 눈썰매장 (상소문화공원) | 충청 | 대전 동구 상소동 1 일원 (상소문화공원 잔디광장)
소노벨 천안 스노우어드벤처 | 충청 | 충남 천안시 동남구 성남면 종합휴양지로 200
청양 칠갑산 얼음분수축제 (알프스마을) | 충청 | 충남 청양군 정산면 청장호길 223-35 (알프스마을)
대전 대덕구 눈썰매장 | 충청 | 대전 대덕구 산호빛근린공원 / 장동문화공원 (2개소 운영)
광주 패밀리랜드 눈썰매장 | 전라 | 광주광역시 북구 우치공원 광주패밀리랜드 내
무주 덕유산리조트 (무주리조트) | 전라 | 무주군 설천면 (만선로 185)
무주덕유산리조트 눈썰매장 | 전라 | 전북 무주군 설천면 만선로 185 (덕유산리조트 내)
경주월드 스노우파크 | 경상 | 경북 경주시 천군동 보문로 544 (경주월드 내)
안동 암산얼음축제 | 경상 | 경북 안동시 남후면 광음리 (암산유원지 일원)
삼국유사테마파크 눈썰매장 | 경상 | 대구광역시 군위군 의흥면 일연테마로 100 (삼국유사테마파크 내)
에덴밸리리조트 스키장 | 경상 | 양산시 원동면 (어실로 1206)
