가평 5150독채풀빌라&노천탕 | 경기북부 | 가평군 상면 (청군로 715-53)
가평 BROOK5(브룩5) | 경기북부 | 가평군 가평읍 (태봉두밀로 162)
가평 무지개 독채펜션&글램핑 | 경기북부 | 가평군 북면 (꽃넘이길 115-47, 제령리)
가평 빌라코지 풀빌라 | 경기북부 | 가평군 청평면 호명리 (호반로 753-7)
가평 카라펜션 | 경기북부 | 가평군 가평읍 두밀리 (태봉두밀로 269-101)
가평 호명나루165풀빌라 | 경기북부 | 가평군 청평면 (호명리길 165-9)
포천 산정리조트 펜션&카라반 | 경기북부 | 포천시 영북면 (산정호수로 704, 카라반동 688)
포천 포레스트풀빌라 | 경기북부 | 포천시 영중면 (물안2길 48)
파주 데이오프파주 | 경기북부 | 파주시 적성면 (달빛길 264-117)
파주 머스트화이트 | 경기북부 | 파주시 법원읍 (초리골길 515-5)
포천 비욘더블루 풀빌라 | 경기북부 | 포천시 소흘읍 (죽엽산로298번길 70-91)
한화리조트 산정호수 안시 | 경기북부 | 포천시 영북면 (산정호수 관광지)
L7 홍대 바이 롯데 | 서울 | 마포구 (양화로 141)
글래드 여의도 | 서울 | 영등포구 여의도동 (의사당대로 16)
노보텔 스위트 앰배서더 서울 용산 | 서울 | 용산구 한강로3가 (청파로20길 95, 서울드래곤시티)
몬드리안 서울 이태원 | 서울 | 용산구 이태원동 (장문로 23)
안다즈 서울 강남 | 서울 | 강남구 (논현로 854)
페어몬트 앰배서더 서울 | 서울 | 영등포구 (여의대로 108)
호텔 나루 서울 - 엠갤러리 | 서울 | 마포구 도화동 (마포대로 8)
락고재 서울 북촌 | 서울 | 종로구 (계동길 49)
레스케이프 서울 명동, 럭셔리 컬렉션 | 서울 | 중구 회현동1가 210 (회현역 인근)
비스타 워커힐 서울 | 서울 | 광진구 광장동 (워커힐로 177)
스탠포드 호텔 서울 | 서울 | 마포구 상암동 (월드컵북로58길 15)
강화도 코너스톤스파&풀빌라펜션 | 인천 | 강화군 삼산면 석모도 (삼산북로263번길 47-17)
네스트호텔 | 인천 | 영종구 운서동 2877-1
쉐라톤 그랜드 인천 호텔 | 인천 | 연수구 (컨벤시아대로 153)
오크우드 프리미어 인천 | 인천 | 연수구 (컨벤시아대로 165)
인스파이어 엔터테인먼트 리조트 | 인천 | 영종구(구 중구) (공항문화로 127)
파라다이스시티 | 인천 | 영종구 운서동 (영종해안남로321번길 186)
하버파크호텔 | 인천 | 제물포구(구 중구) (제물량로 217)
강화도 품안애 스파독채펜션 | 인천 | 강화군 화도면 (해안남로 2483-18)
경원재 바이 워커힐 (구 경원재 앰배서더 인천) | 인천 | 연수구 송도동 (테크노파크로 200)
그랜드 하얏트 인천 | 인천 | 영종구 운서동 (영종해안남로321번길 208)
곤지암리조트 (LG 곤지암리조트) | 경기남부 | 광주시 도척면 (도척윗로 278)
그래비티 조선 서울 판교, 오토그래프 컬렉션 | 경기남부 | 성남시 분당구 (판교역로146번길 2)
양평 블루힐펜션 | 경기남부 | 양평군 양평읍 (백안3리길 138)
에버랜드 리조트 (에버랜드·캐리비안베이·홈브릿지·글렌로스) | 경기남부 | 용인시 처인구 포곡읍 (에버랜드로 199)
용인 스테이뷰 풀빌라 | 경기남부 | 용인시 처인구 양지면 (교동로32번길 31-13)
지산 포레스트 리조트 | 경기남부 | 이천시 마장면 (지산로 267)
소노벨 양평 (구 소노휴 양평, 구 대명리조트 양평) | 경기남부 | 양평군 — 남한강 인근
안성 프로방스펜션 | 경기남부 | 안성시 죽산면 (용설호수길 134)
양평 생각속의집 | 경기남부 | 양평군 단월면 (대부록길 37)
양평 아그니초시매한옥스테이 | 경기남부 | 양평군 서종면 (화서로 1129-33)
양평 우노하우스풀빌라 | 경기남부 | 양평군 청운면 (신론새터길 36)
양평 풀빌라 마노아 | 경기남부 | 양평군 서종면 정배리 (중미산로 884-13)
여주 올에이풀빌라 | 경기남부 | 여주시 강천면 (가정긴골길 128-6)
이천 미란다호텔 | 경기남부 | 이천시 (이섭대천로 1417)
코트야드 바이 메리어트 수원 | 경기남부 | 수원시 영통구 (삼성로 267)
한화리조트 용인 베잔송 | 경기남부 | 용인시 (에버랜드·플라자CC 인근)
고성 안녕바다카라반펜션 | 강원 | 고성군 죽왕면 (천학정길 65-1)
롯데리조트 속초 | 강원 | 속초시 대포동 (대포항길 186)
모나 용평 (구 용평리조트) | 강원 | 평창군 대관령면 (올림픽로 715 일대)
브리드호텔 양양 | 강원 | 양양군 현남면 인구리 (인구항길 17)
세인트존스호텔 | 강원 | 강릉시 강문동 (창해로 307)
소노문 델피노 / 소노캄 델피노 (구 델피노 골프앤리조트, 구 대명 설악) | 강원 | 고성군 토성면 (미시령옛길 1153) — 속초 시내 차로 15분
소노벨 비발디파크 (구 대명리조트 비발디파크) | 강원 | 홍천군 서면 (한치골길 262)
엘리시안 강촌 | 강원 | 춘천시 남산면 (북한강변길 688)
오크밸리 리조트 | 강원 | 원주시 지정면 (오크밸리1길 66)
웰리힐리파크 (구 성우리조트) | 강원 | 횡성군 둔내면 — 둔내IC 차로 10분, 둔내역 7분
한화리조트 설악 쏘라노 (구 한화리조트 설악) | 강원 | 속초시 (미시령로2983번길 111)
휘닉스 평창 (구 휘닉스파크) | 강원 | 평창군 봉평면 (태기로 174)
고성 아야트B | 강원 | 고성군 토성면 (아야진해변길 137)
설해원 | 강원 | 양양군 손양면 (공항로 230, 동호리) — 양양국제공항 남쪽
속초 비로소 독채펜션 | 강원 | 속초시 장사동 (장성천길 61-27)
쏠비치 호텔&리조트 양양 (오션플레이 운영) | 강원 | 양양군 손양면 (선사유적로 678)
파크로쉬 리조트앤웰니스 | 강원 | 정선군 북평면 (중봉길 9-12) — 가리왕산 자락
평창 오대산힐링타운 별빛동 | 강원 | 평창군 진부면 (오대산 월정사 인근)
하이원리조트 | 강원 | 정선군 고한읍 (하이원길 265-1)
홀리데이 인 리조트 알펜시아 평창 | 강원 | 평창군 대관령면 용산리 (솔봉로 325)
홍천 인마이라이프 독채펜션 | 강원 | 홍천군 서면 (팔봉강변길 273)
홍천 헤리티스 풀빌라 | 강원 | 홍천군 북방면 장항리 (장항2길 14-5)
부여 자온대펜션 | 충청 | 부여군 규암면 (수북로 34-1)
소노벨 단양 (오션플레이 단양, 구 대명리조트 단양) | 충청 | 단양군 단양읍 (삼봉로 187-17)
소노벨 천안 (오션어드벤처, 구 테딘워터파크) | 충청 | 천안시 동남구 성남면 (소노로 1)
태안(안면도) 지중해아침펜션 | 충청 | 태안군 고남면 (큰장돌길 141-98)
한화리조트 대천 파로스 | 충청 | 보령시 신흑동 (대천해수욕장)
단양 글램핑&펜션 | 충청 | 단양군 단성면 (선암계곡로, 선암계곡 앞)
단양 더밸리펜션 | 충청 | 단양군 대강면 (사인암길 61-8)
더위트도고 (구 BS도고콘도) | 충청 | 아산시 도고면 (기곡로62번길 6-8)
롯데리조트 부여 | 충청 | 부여군 규암면 (백제문로 400)
보령(대천) 스테이우린 | 충청 | 보령시 신흑동 (고잠2길 16-10)
신라스테이 천안아산 | 충청 | 천안시 서북구 불당동 (동서대로 177) — 천안아산역 인근
아일랜드 리솜 (구 리솜 오션캐슬) | 충청 | 태안군 안면읍 (안면도)
태안 안면도 블루아일랜드 스파 풀빌라 | 충청 | 태안군 안면읍 (밧개길, 밧개해변 인근)
나비잠 한옥호텔 | 전라 | 전주시 완산구 전동 (한옥마을 내, 팔달로 150-17)
디오션리조트 여수 (디오션 호텔&리조트 / 디오션 워터파크) | 전라 | 여수시 (소호로 295)
라한호텔 전주 | 전라 | 전주시 완산구 (기린대로 85)
무주덕유산리조트 | 전라 | 무주군 설천면 (만선로 185)
소노벨 변산 (오션플레이 변산, 구 대명리조트 변산) | 전라 | 부안군 변산면 (변산해변로 51)
소노캄 여수 | 전라 | 여수시 수정동 (오동도로 111)
에코그라드호텔 순천 | 전라 | 순천시 (백강로 234)
호텔현대 바이 라한 목포 | 전라 | 영암군 삼호읍 (대불로 91)
고창 웰파크시티 (석정온천휴스파 · 웰파크호텔) | 전라 | 고창군 고창읍 (석정2로 173)
여수 뷰21 오션뷰스파&독채펜션 | 전라 | 여수시 화양면 장수리 (안포장수로, 장등해변)
윤달 (담양 한옥 독채 스테이) | 전라 | 담양군 담양읍 삼만리 (오정길)
켄싱턴리조트 지리산남원 | 전라 | 남원시 (소리길 66) — 광한루원 인근
경주 황남관 한옥호텔 | 경상 | 경주시 황남동 (포석로 1038, 황리단길 초입)
경주 황리단길 한옥스테이 다가감 | 경상 | 경주시 황남동 (첨성로99번길 22-2)
아난티 남해 | 경상 | 남해군 남면 덕월리 (남서대로1179번길 40-109)
파라다이스 호텔 부산 | 경상 | 부산 해운대구 중동 (해운대해변로 296)
파크 하얏트 부산 | 경상 | 부산 해운대구 우동 (마린시티1로 51)
프래밀리 풀빌라 & 호텔 | 경상 | 거제시 일운면 와현리 (거제대로 2308)
한화리조트 거제 벨버디어 | 경상 | 거제시 장목면 (거제북로 2501-40)
한화리조트 경주 | 경상 | 경주시 (보문로 182-27) — 보문관광단지 내
강동리조트 · 강동워터파크 (구 블루원 경주 리조트·워터파크) | 경상 | 경주시 천군동 (천군로 92-32)
금호통영마리나리조트 | 경상 | 통영시 (큰발개1길 33)
에덴밸리리조트 | 경상 | 양산시 원동면 (어실로) — 부산·울산 근교
그랜드 하얏트 제주 | 제주 | 제주시 노형동 (노연로 12, 제주 드림타워)
롯데호텔 제주 | 제주 | 서귀포시 (중문관광로72번길 35, 색달동) — 중문관광단지
제주신화월드 | 제주 | 서귀포시 안덕면 (신화역사로304번길 98 일대, 신화역사공원 내)
휘닉스 제주 섭지코지 | 제주 | 서귀포시 성산읍 고성리 (섭지코지로 93-66)
더포레스트 유수암 | 제주 | 제주시 애월읍 유수암리 (유수암로1길 43-8)
